step,date,price,buy_votes,hold_votes,vote_share_buy,ensemble_action_binary,action_label,exit_signal_fired,in_position_before
0,2024-08-16,148.55999755859375,2,0,1.0,1,BUY,0,0
1,2024-08-19,155.27999877929688,2,0,1.0,1,BUY,0,0
2,2024-08-20,156.39999389648438,2,0,1.0,1,BUY,0,1
3,2024-08-21,157.80999755859375,2,0,1.0,1,BUY,0,1
4,2024-08-22,151.6999969482422,2,0,1.0,1,BUY,0,1
5,2024-08-23,154.97999572753906,2,0,1.0,1,BUY,0,1
6,2024-08-26,149.99000549316406,2,0,1.0,1,BUY,0,1
7,2024-08-27,150.5,2,0,1.0,1,BUY,0,1
8,2024-08-28,146.36000061035156,2,0,1.0,1,BUY,0,1
9,2024-08-29,145.49000549316406,2,0,1.0,1,BUY,0,1
10,2024-08-30,148.55999755859375,2,0,1.0,1,BUY,0,1
11,2024-09-03,136.94000244140625,2,0,1.0,1,BUY,0,1
12,2024-09-04,140.8699951171875,1,1,0.5,0,SELL/EXIT,1,1
13,2024-09-05,139.44000244140625,2,0,1.0,1,BUY,0,1
14,2024-09-06,134.35000610351562,1,1,0.5,0,HOLD,0,0
15,2024-09-09,138.14999389648438,2,0,1.0,1,BUY,0,1
16,2024-09-10,142.83999633789062,1,1,0.5,0,HOLD,0,0
17,2024-09-11,149.86000061035156,2,0,1.0,1,BUY,0,1
18,2024-09-12,150.77000427246094,1,1,0.5,0,HOLD,0,0
19,2024-09-13,152.30999755859375,2,0,1.0,1,BUY,0,1
20,2024-09-16,152.0800018310547,1,1,0.5,0,HOLD,0,0
21,2024-09-17,150.82000732421875,2,0,1.0,1,BUY,0,1
22,2024-09-18,148.2899932861328,1,1,0.5,0,HOLD,0,0
23,2024-09-19,156.74000549316406,2,0,1.0,1,BUY,0,1
24,2024-09-20,155.9499969482422,1,1,0.5,0,HOLD,0,0
25,2024-09-23,156.75,2,0,1.0,1,BUY,0,1
26,2024-09-24,158.32000732421875,2,0,1.0,1,BUY,0,0
27,2024-09-25,162.02000427246094,2,0,1.0,1,BUY,0,1
28,2024-09-26,167.49000549316406,2,0,1.0,1,BUY,0,1
29,2024-09-27,164.35000610351562,2,0,1.0,1,BUY,0,1
30,2024-09-30,164.0800018310547,2,0,1.0,1,BUY,0,1
31,2024-10-01,159.75,2,0,1.0,1,BUY,0,1
32,2024-10-02,159.77999877929688,2,0,1.0,1,BUY,0,1
33,2024-10-03,162.85000610351562,2,0,1.0,1,BUY,0,1
34,2024-10-04,170.89999389648438,2,0,1.0,1,BUY,0,1
35,2024-10-07,170.97000122070312,2,0,1.0,1,BUY,0,1
36,2024-10-08,172.8000030517578,2,0,1.0,1,BUY,0,1
37,2024-10-09,171.02000427246094,2,0,1.0,1,BUY,0,1
38,2024-10-10,164.17999267578125,2,0,1.0,1,BUY,0,1
39,2024-10-11,167.88999938964844,2,0,1.0,1,BUY,0,1
40,2024-10-14,165.27000427246094,2,0,1.0,1,BUY,0,1
41,2024-10-15,156.63999938964844,2,0,1.0,1,BUY,0,1
42,2024-10-16,156.1300048828125,2,0,1.0,1,BUY,0,1
43,2024-10-17,156.25,2,0,1.0,1,BUY,0,1
44,2024-10-18,155.97000122070312,2,0,1.0,1,BUY,0,1
45,2024-10-21,157.89999389648438,2,0,1.0,1,BUY,0,1
46,2024-10-22,154.08999633789062,2,0,1.0,1,BUY,0,1
47,2024-10-23,152.91000366210938,2,0,1.0,1,BUY,0,1
48,2024-10-24,153.44000244140625,2,0,1.0,1,BUY,0,1
49,2024-10-25,156.22999572753906,2,0,1.0,1,BUY,0,1
50,2024-10-28,159.9199981689453,2,0,1.0,1,BUY,0,1
51,2024-10-29,166.25,2,0,1.0,1,BUY,0,1
52,2024-10-30,148.60000610351562,2,0,1.0,1,BUY,0,1
53,2024-10-31,144.07000732421875,2,0,1.0,1,BUY,0,1
54,2024-11-01,141.86000061035156,2,0,1.0,1,BUY,0,1
55,2024-11-04,140.7100067138672,2,0,1.0,1,BUY,0,1
56,2024-11-05,141.66000366210938,2,0,1.0,1,BUY,0,1
57,2024-11-06,145.10000610351562,2,0,1.0,1,BUY,0,1
58,2024-11-07,149.82000732421875,2,0,1.0,1,BUY,0,1
59,2024-11-08,147.9499969482422,2,0,1.0,1,BUY,0,1
60,2024-11-11,147.35000610351562,2,0,1.0,1,BUY,0,1
61,2024-11-12,143.6300048828125,2,0,1.0,1,BUY,0,1
62,2024-11-13,139.3000030517578,2,0,1.0,1,BUY,0,1
63,2024-11-14,138.83999633789062,2,0,1.0,1,BUY,0,1
64,2024-11-15,134.89999389648438,2,0,1.0,1,BUY,0,1
65,2024-11-18,138.92999267578125,2,0,1.0,1,BUY,0,1
66,2024-11-19,139.38999938964844,2,0,1.0,1,BUY,0,1
67,2024-11-20,137.60000610351562,2,0,1.0,1,BUY,0,1
68,2024-11-21,137.49000549316406,2,0,1.0,1,BUY,0,1
69,2024-11-22,138.35000610351562,2,0,1.0,1,BUY,0,1
70,2024-11-25,141.1300048828125,2,0,1.0,1,BUY,0,1
71,2024-11-26,137.72000122070312,2,0,1.0,1,BUY,0,1
72,2024-11-27,136.24000549316406,2,0,1.0,1,BUY,0,1
73,2024-11-29,137.17999267578125,2,0,1.0,1,BUY,0,1
74,2024-12-02,142.05999755859375,2,0,1.0,1,BUY,0,1
75,2024-12-03,141.97999572753906,2,0,1.0,1,BUY,0,1
76,2024-12-04,143.99000549316406,2,0,1.0,1,BUY,0,1
77,2024-12-05,141.36000061035156,2,0,1.0,1,BUY,0,1
78,2024-12-06,138.58999633789062,2,0,1.0,1,BUY,0,1
79,2024-12-09,130.8699951171875,2,0,1.0,1,BUY,0,1
80,2024-12-10,127.73999786376953,2,0,1.0,1,BUY,0,1
81,2024-12-11,130.14999389648438,2,0,1.0,1,BUY,0,1
82,2024-12-12,130.60000610351562,2,0,1.0,1,BUY,0,1
83,2024-12-13,126.91000366210938,2,0,1.0,1,BUY,0,1
84,2024-12-16,126.69000244140625,2,0,1.0,1,BUY,0,1
85,2024-12-17,125.0199966430664,2,0,1.0,1,BUY,0,1
86,2024-12-18,121.41000366210938,2,0,1.0,1,BUY,0,1
87,2024-12-19,118.87999725341797,2,0,1.0,1,BUY,0,1
88,2024-12-20,119.20999908447266,2,0,1.0,1,BUY,0,1
89,2024-12-23,124.5999984741211,2,0,1.0,1,BUY,0,1
90,2024-12-24,126.29000091552734,2,0,1.0,1,BUY,0,1
91,2024-12-26,125.05999755859375,2,0,1.0,1,BUY,0,1
92,2024-12-27,125.19000244140625,2,0,1.0,1,BUY,0,1
93,2024-12-30,122.44000244140625,2,0,1.0,1,BUY,0,1
94,2024-12-31,120.79000091552734,2,0,1.0,1,BUY,0,1
95,2025-01-02,120.62999725341797,2,0,1.0,1,BUY,0,1
96,2025-01-03,125.37000274658203,2,0,1.0,1,BUY,0,1
97,2025-01-06,129.5500030517578,2,0,1.0,1,BUY,0,1
98,2025-01-07,127.33000183105469,2,0,1.0,1,BUY,0,1
99,2025-01-08,121.83999633789062,2,0,1.0,1,BUY,0,1
100,2025-01-10,116.04000091552734,2,0,1.0,1,BUY,0,1
101,2025-01-13,117.31999969482422,2,0,1.0,1,BUY,0,1
102,2025-01-14,116.08999633789062,2,0,1.0,1,BUY,0,1
103,2025-01-15,119.95999908447266,2,0,1.0,1,BUY,0,1
104,2025-01-16,118.44000244140625,2,0,1.0,1,BUY,0,1
105,2025-01-17,121.45999908447266,2,0,1.0,1,BUY,0,1
106,2025-01-21,122.27999877929688,2,0,1.0,1,BUY,0,1
107,2025-01-22,123.75,2,0,1.0,1,BUY,0,1
108,2025-01-23,123.04000091552734,2,0,1.0,1,BUY,0,1
109,2025-01-24,122.83999633789062,2,0,1.0,1,BUY,0,1
110,2025-01-27,115.01000213623047,2,0,1.0,1,BUY,0,1
111,2025-01-28,114.16999816894531,2,0,1.0,1,BUY,0,1
112,2025-01-29,117.3499984741211,2,0,1.0,1,BUY,0,1
113,2025-01-30,118.86000061035156,2,0,1.0,1,BUY,0,1
114,2025-01-31,115.94999694824219,2,0,1.0,1,BUY,0,1
115,2025-02-03,114.2699966430664,2,0,1.0,1,BUY,0,1
116,2025-02-04,119.5,2,0,1.0,1,BUY,0,1
117,2025-02-05,112.01000213623047,2,0,1.0,1,BUY,0,1
118,2025-02-06,110.16000366210938,2,0,1.0,1,BUY,0,1
119,2025-02-07,107.55999755859375,2,0,1.0,1,BUY,0,1
120,2025-02-10,110.4800033569336,2,0,1.0,1,BUY,0,1
121,2025-02-11,111.0999984741211,2,0,1.0,1,BUY,0,1
122,2025-02-12,111.72000122070312,2,0,1.0,1,BUY,0,1
123,2025-02-13,111.80999755859375,2,0,1.0,1,BUY,0,1
124,2025-02-14,113.0999984741211,2,0,1.0,1,BUY,0,1
125,2025-02-18,114.27999877929688,2,0,1.0,1,BUY,0,1
126,2025-02-19,114.69000244140625,2,0,1.0,1,BUY,0,1
127,2025-02-20,114.16999816894531,2,0,1.0,1,BUY,0,1
128,2025-02-21,110.83999633789062,2,0,1.0,1,BUY,0,1
129,2025-02-24,108.11000061035156,2,0,1.0,1,BUY,0,1
130,2025-02-25,103.95999908447266,2,0,1.0,1,BUY,0,1
131,2025-02-26,104.73999786376953,2,0,1.0,1,BUY,0,1
132,2025-02-27,99.51000213623047,2,0,1.0,1,BUY,0,1
133,2025-02-28,99.86000061035156,2,0,1.0,1,BUY,0,1
134,2025-03-03,98.2300033569336,2,0,1.0,1,BUY,0,1
135,2025-03-04,100.75,2,0,1.0,1,BUY,0,1
136,2025-03-05,101.66999816894531,2,0,1.0,1,BUY,0,1
137,2025-03-06,98.8499984741211,2,0,1.0,1,BUY,0,1
138,2025-03-07,100.30999755859375,2,0,1.0,1,BUY,0,1
139,2025-03-10,96.62999725341797,2,0,1.0,1,BUY,0,1
140,2025-03-11,96.76000213623047,2,0,1.0,1,BUY,0,1
141,2025-03-12,100.79000091552734,2,0,1.0,1,BUY,0,1
142,2025-03-13,98.11000061035156,2,0,1.0,1,BUY,0,1
143,2025-03-14,100.97000122070312,2,0,1.0,1,BUY,0,1
144,2025-03-17,104.58999633789062,2,0,1.0,1,BUY,0,1
145,2025-03-18,103.51000213623047,2,0,1.0,1,BUY,0,1
146,2025-03-19,106.2300033569336,2,0,1.0,1,BUY,0,1
147,2025-03-20,107.13999938964844,2,0,1.0,1,BUY,0,1
148,2025-03-21,106.44000244140625,2,0,1.0,1,BUY,0,1
149,2025-03-24,113.8499984741211,2,0,1.0,1,BUY,0,1
150,2025-03-25,114.80999755859375,2,0,1.0,1,BUY,0,1
151,2025-03-26,110.19000244140625,2,0,1.0,1,BUY,0,1
152,2025-03-27,106.6500015258789,2,0,1.0,1,BUY,0,1
153,2025-03-28,103.22000122070312,2,0,1.0,1,BUY,0,1
154,2025-03-31,102.73999786376953,2,0,1.0,1,BUY,0,1
155,2025-04-01,102.77999877929688,2,0,1.0,1,BUY,0,1
156,2025-04-02,102.95999908447266,2,0,1.0,1,BUY,0,1
157,2025-04-03,93.80000305175781,2,0,1.0,1,BUY,0,1
158,2025-04-04,85.76000213623047,2,0,1.0,1,BUY,0,1
159,2025-04-07,83.63999938964844,2,0,1.0,1,BUY,0,1
160,2025-04-08,78.20999908447266,2,0,1.0,1,BUY,0,1
161,2025-04-09,96.83999633789062,2,0,1.0,1,BUY,0,1
162,2025-04-10,88.69999694824219,2,0,1.0,1,BUY,0,1
163,2025-04-11,93.4000015258789,2,0,1.0,1,BUY,0,1
164,2025-04-14,94.5,2,0,1.0,1,BUY,0,1
165,2025-04-15,95.29000091552734,2,0,1.0,1,BUY,0,1
166,2025-04-16,88.29000091552734,2,0,1.0,1,BUY,0,1
167,2025-04-17,87.5,2,0,1.0,1,BUY,0,1
168,2025-04-21,85.55999755859375,2,0,1.0,1,BUY,0,1
169,2025-04-22,86.26000213623047,2,0,1.0,1,BUY,0,1
170,2025-04-23,90.38999938964844,2,0,1.0,1,BUY,0,1
171,2025-04-24,94.47000122070312,2,0,1.0,1,BUY,0,1
172,2025-04-25,96.6500015258789,2,0,1.0,1,BUY,0,1
173,2025-04-28,96.38999938964844,2,0,1.0,1,BUY,0,1
174,2025-04-29,96.05999755859375,2,0,1.0,1,BUY,0,1
175,2025-04-30,97.3499984741211,2,0,1.0,1,BUY,0,1
176,2025-05-01,96.6500015258789,2,0,1.0,1,BUY,0,1
177,2025-05-02,98.80000305175781,2,0,1.0,1,BUY,0,1
178,2025-05-05,100.58999633789062,2,0,1.0,1,BUY,0,1
179,2025-05-06,98.62000274658203,2,0,1.0,1,BUY,0,1
180,2025-05-07,100.36000061035156,2,0,1.0,1,BUY,0,1
181,2025-05-08,101.69999694824219,2,0,1.0,1,BUY,0,1
182,2025-05-09,102.83999633789062,2,0,1.0,1,BUY,0,1
183,2025-05-12,108.12000274658203,2,0,1.0,1,BUY,0,1
184,2025-05-13,112.45999908447266,2,0,1.0,1,BUY,0,1
185,2025-05-14,117.72000122070312,2,0,1.0,1,BUY,0,1
186,2025-05-15,114.98999786376953,2,0,1.0,1,BUY,0,1
187,2025-05-16,117.16999816894531,2,0,1.0,1,BUY,0,1
188,2025-05-19,114.73999786376953,2,0,1.0,1,BUY,0,1
189,2025-05-20,113.51000213623047,2,0,1.0,1,BUY,0,1
190,2025-05-21,112.05999755859375,2,0,1.0,1,BUY,0,1
191,2025-05-22,110.70999908447266,2,0,1.0,1,BUY,0,1
192,2025-05-23,110.30999755859375,2,0,1.0,1,BUY,0,1
193,2025-05-27,114.55999755859375,2,0,1.0,1,BUY,0,1
194,2025-05-28,112.86000061035156,2,0,1.0,1,BUY,0,1
195,2025-05-29,113.02999877929688,2,0,1.0,1,BUY,0,1
196,2025-05-30,110.7300033569336,2,0,1.0,1,BUY,0,1
197,2025-06-02,114.62999725341797,2,0,1.0,1,BUY,0,1
198,2025-06-03,117.30999755859375,2,0,1.0,1,BUY,0,1
199,2025-06-04,118.58000183105469,2,0,1.0,1,BUY,0,1
200,2025-06-05,115.69000244140625,2,0,1.0,1,BUY,0,1
201,2025-06-06,116.19000244140625,2,0,1.0,1,BUY,0,1
202,2025-06-09,121.7300033569336,2,0,1.0,1,BUY,0,1
203,2025-06-10,123.23999786376953,2,0,1.0,1,BUY,0,1
204,2025-06-11,121.13999938964844,2,0,1.0,1,BUY,0,1
205,2025-06-12,118.5,2,0,1.0,1,BUY,0,1
