step,date,price,buy_votes,hold_votes,vote_share_buy,ensemble_action_binary,action_label,exit_signal_fired,in_position_before
0,2024-08-15,122.86000061035156,2,0,1.0,1,BUY,0,0
1,2024-08-16,124.58000183105469,2,0,1.0,1,BUY,0,0
2,2024-08-19,130.0,2,0,1.0,1,BUY,0,1
3,2024-08-20,127.25,2,0,1.0,1,BUY,0,1
4,2024-08-21,128.5,2,0,1.0,1,BUY,0,1
5,2024-08-22,123.73999786376953,2,0,1.0,1,BUY,0,1
6,2024-08-23,129.3699951171875,2,0,1.0,1,BUY,0,1
7,2024-08-26,126.45999908447266,2,0,1.0,1,BUY,0,1
8,2024-08-27,128.3000030517578,2,0,1.0,1,BUY,0,1
9,2024-08-28,125.61000061035156,2,0,1.0,1,BUY,0,1
10,2024-08-29,117.58999633789062,2,0,1.0,1,BUY,0,1
11,2024-08-30,119.37000274658203,2,0,1.0,1,BUY,0,1
12,2024-09-03,108.0,2,0,1.0,1,BUY,0,1
13,2024-09-04,106.20999908447266,2,0,1.0,1,BUY,0,1
14,2024-09-05,107.20999908447266,2,0,1.0,1,BUY,0,1
15,2024-09-06,102.83000183105469,2,0,1.0,1,BUY,0,1
16,2024-09-09,106.47000122070312,2,0,1.0,1,BUY,0,1
17,2024-09-10,108.0999984741211,2,0,1.0,1,BUY,0,1
18,2024-09-11,116.91000366210938,2,0,1.0,1,BUY,0,1
19,2024-09-12,119.13999938964844,2,0,1.0,1,BUY,0,1
20,2024-09-13,119.0999984741211,2,0,1.0,1,BUY,0,1
21,2024-09-16,116.77999877929688,2,0,1.0,1,BUY,0,1
22,2024-09-17,115.58999633789062,2,0,1.0,1,BUY,0,1
23,2024-09-18,113.37000274658203,2,0,1.0,1,BUY,0,1
24,2024-09-19,117.87000274658203,2,0,1.0,1,BUY,0,1
25,2024-09-20,116.0,2,0,1.0,1,BUY,0,1
26,2024-09-23,116.26000213623047,2,0,1.0,1,BUY,0,1
27,2024-09-24,120.87000274658203,2,0,1.0,1,BUY,0,1
28,2024-09-25,123.51000213623047,2,0,1.0,1,BUY,0,1
29,2024-09-26,124.04000091552734,2,0,1.0,1,BUY,0,1
30,2024-09-27,121.4000015258789,2,0,1.0,1,BUY,0,1
31,2024-09-30,121.44000244140625,2,0,1.0,1,BUY,0,1
32,2024-10-01,117.0,2,0,1.0,1,BUY,0,1
33,2024-10-02,118.8499984741211,2,0,1.0,1,BUY,0,1
34,2024-10-03,122.8499984741211,2,0,1.0,1,BUY,0,1
35,2024-10-04,124.91999816894531,2,0,1.0,1,BUY,0,1
36,2024-10-07,127.72000122070312,2,0,1.0,1,BUY,0,1
37,2024-10-08,132.88999938964844,2,0,1.0,1,BUY,0,1
38,2024-10-09,132.64999389648438,2,0,1.0,1,BUY,0,1
39,2024-10-10,134.80999755859375,2,0,1.0,1,BUY,0,1
40,2024-10-11,134.8000030517578,2,0,1.0,1,BUY,0,1
41,2024-10-14,138.07000732421875,2,0,1.0,1,BUY,0,1
42,2024-10-15,131.60000610351562,2,0,1.0,1,BUY,0,1
43,2024-10-16,135.72000122070312,2,0,1.0,1,BUY,0,1
44,2024-10-17,136.92999267578125,2,0,1.0,1,BUY,0,1
45,2024-10-18,138.0,2,0,1.0,1,BUY,0,1
46,2024-10-21,143.7100067138672,2,0,1.0,1,BUY,0,1
47,2024-10-22,143.58999633789062,2,0,1.0,1,BUY,0,1
48,2024-10-23,139.55999755859375,2,0,1.0,1,BUY,0,1
49,2024-10-24,140.41000366210938,2,0,1.0,1,BUY,0,1
50,2024-10-25,141.5399932861328,2,0,1.0,1,BUY,0,1
51,2024-10-28,140.52000427246094,2,0,1.0,1,BUY,0,1
52,2024-10-29,141.25,2,0,1.0,1,BUY,0,1
53,2024-10-30,139.33999633789062,2,0,1.0,1,BUY,0,1
54,2024-10-31,132.75999450683594,2,0,1.0,1,BUY,0,1
55,2024-11-01,135.39999389648438,2,0,1.0,1,BUY,0,1
56,2024-11-04,136.0500030517578,2,0,1.0,1,BUY,0,1
57,2024-11-05,139.91000366210938,2,0,1.0,1,BUY,0,1
58,2024-11-06,145.61000061035156,2,0,1.0,1,BUY,0,1
59,2024-11-07,148.8800048828125,2,0,1.0,1,BUY,0,1
60,2024-11-08,147.6300048828125,2,0,1.0,1,BUY,0,1
61,2024-11-11,145.25999450683594,2,0,1.0,1,BUY,0,1
62,2024-11-12,148.2899932861328,2,0,1.0,1,BUY,0,1
63,2024-11-13,146.27000427246094,2,0,1.0,1,BUY,0,1
64,2024-11-14,146.75999450683594,2,0,1.0,1,BUY,0,1
