step,value_estimate,in_cooldown,forced_action
80,0.0660267174243927,False,False
160,0.28496885299682617,False,False
240,0.15336599946022034,False,False
320,0.044605374336242676,False,False
400,0.08411374688148499,False,False
480,-0.05064111948013306,False,False
560,-0.09832260012626648,False,False
640,-0.10890540480613708,False,False
720,-0.149783194065094,False,False
800,-0.15529003739356995,False,False
880,-0.1703203320503235,False,False
960,-0.1791873574256897,False,False
1040,-0.1429373025894165,False,False
1120,-0.15702253580093384,False,False
1200,-0.19362184405326843,False,False
1280,-0.17838945984840393,False,False
1360,-0.18763819336891174,False,False
1440,-0.19081178307533264,False,False
1520,-0.19296321272850037,False,False
1600,-0.20034697651863098,False,False
1680,-0.19632688164710999,False,False
1760,-0.19162818789482117,False,False
1840,-0.19677570462226868,False,False
1920,-0.19785058498382568,False,False
2000,-0.2012639343738556,False,False
2080,-0.19558683037757874,False,False
2160,-0.19877317547798157,False,False
2240,-0.19909906387329102,False,False
2320,-0.2006840705871582,False,False
2400,-0.2016451358795166,False,False
2480,-0.2008545696735382,False,False
2560,-0.20035216212272644,False,False
2640,-0.20159393548965454,False,False
2720,-0.2014015018939972,False,False
2800,-0.20143109560012817,False,False
2880,-0.20167863368988037,False,False
2960,-0.20188140869140625,False,False
3040,-0.20148560404777527,False,False
3120,-0.20158687233924866,False,False
3200,-0.20184245705604553,False,False
3280,-0.201596200466156,False,False
3360,-0.20163196325302124,False,False
3440,-0.2013516128063202,False,False
3520,-0.2017526626586914,False,False
3600,-0.2015908658504486,False,False
3680,-0.20155680179595947,False,False
3760,-0.20145967602729797,False,False
3840,-0.2017572522163391,False,False
3920,-0.2016775906085968,False,False
4000,-0.20166608691215515,False,False
4080,-0.20154094696044922,False,False
4160,-0.201482355594635,False,False
4240,-0.201644629240036,False,False
4320,-0.2015417516231537,False,False
4400,-0.2015095055103302,False,False
4480,-0.20151081681251526,False,False
4560,-0.20148280262947083,False,False
4640,-0.20149827003479004,False,False
4720,-0.20148342847824097,False,False
4800,-0.2014959156513214,False,False
4880,-0.20148548483848572,False,False
4960,-0.20149263739585876,False,False
