step,value_estimate,in_cooldown,forced_action
80,-0.7024682760238647,False,False
160,-0.7024682760238647,False,False
240,-0.7024682760238647,False,False
320,-0.7024682760238647,False,False
400,-0.7024701833724976,False,False
480,-0.7024682760238647,False,False
560,-0.7024682760238647,False,False
640,-0.7024682760238647,False,False
720,-0.7024682760238647,False,False
800,-0.7024708986282349,False,False
880,-0.7025425434112549,False,False
960,-0.7107435464859009,False,False
1040,-0.7248913645744324,False,False
1120,-0.7220093607902527,False,False
1200,-0.4881485402584076,False,False
1280,-0.4173636734485626,False,False
1360,-0.4467683732509613,False,False
1440,-0.2976115345954895,False,False
1520,-0.24357914924621582,False,False
1600,-0.2435925006866455,False,False
1680,-0.24357891082763672,False,False
1760,-0.24357891082763672,False,False
1840,-0.2435789704322815,False,False
1920,-0.24357891082763672,False,False
2000,-0.24357891082763672,False,False
2080,-0.2711160182952881,False,False
2160,-0.24362829327583313,False,False
2240,-0.2914201617240906,False,False
2320,-0.291474848985672,False,False
2400,-0.2914748787879944,False,False
2480,-0.2914753556251526,False,False
2560,-0.2914794981479645,False,False
2640,-0.2914799451828003,False,False
2720,-0.29162389039993286,False,False
2800,-0.2930750250816345,False,False
2880,-0.29179489612579346,False,False
2960,-0.3158768117427826,False,False
3040,-0.34677666425704956,False,False
3120,-0.391497403383255,False,False
3200,-0.3288869857788086,False,False
3280,-0.42929261922836304,False,False
3360,-0.45452791452407837,False,False
3440,-0.46515780687332153,False,False
3520,-0.46525514125823975,False,False
3600,-0.46540695428848267,False,False
3680,-0.4654358923435211,False,False
3760,-0.46539071202278137,False,False
3840,-0.4654424488544464,False,False
3920,-0.4654257297515869,False,False
4000,-0.46544426679611206,False,False
4080,-0.5257850289344788,False,False
4160,-0.46544408798217773,False,False
4240,-0.4654442071914673,False,False
4320,-0.46544426679611206,False,False
4400,-0.46544426679611206,False,False
4480,-0.4631005823612213,False,False
4560,-0.4656616449356079,False,False
4640,-0.46472179889678955,False,False
4720,-0.4677767753601074,False,False
4800,-0.7815055251121521,False,False
4880,-0.7351653575897217,False,False
4960,-0.7351669073104858,False,False
5040,-0.7351669073104858,False,False
5120,-0.735167384147644,False,False
5200,-0.7351669073104858,False,False
5280,-0.4511868953704834,False,False
5360,-0.8631583452224731,False,False
5440,-0.8642421960830688,False,False
5520,-0.86424720287323,False,False
5600,-0.7133370041847229,False,False
5680,-0.7024682760238647,False,False
5760,-0.7024682760238647,False,False
5840,-0.7024682760238647,False,False
5920,-0.7024682760238647,False,False
6000,-0.7024683952331543,False,False
6080,-0.7024683952331543,False,False
6160,-0.7024580240249634,False,False
6240,-0.41553184390068054,False,False
6320,-0.5213034152984619,False,False
6400,-0.8336614370346069,False,False
6480,-0.6152359843254089,False,False
6560,-0.44686073064804077,False,False
6640,-0.24358117580413818,False,False
6720,-0.24357888102531433,False,False
6800,-0.28950244188308716,False,False
6880,-0.7024682760238647,False,False
6960,-0.7024682760238647,False,False
7040,-0.7024682760238647,False,False
7120,-0.4716295599937439,False,False
7200,-0.44881969690322876,False,False
7280,-0.4532708525657654,False,False
7360,-0.7021040916442871,False,False
7440,-0.6995939016342163,False,False
7520,-0.6197106242179871,False,False
