leaderboard_version,ticker,run_label,seed,timesteps,learning_rate,gamma,ent_coef,include_news,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,max_weight_delta_per_step,reward_mode,rolling_reward_window,reward_epsilon,reward_pnl_scale,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_turnover_penalty_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_pnl_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_turnover_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_pnl_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_turnover_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score,interval,experiment_preset,bars_per_year,binary_actions,min_hold_bars,use_cooldown_obs
2,NVDA,nvda-ppo-unstick,7,50000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.01,1.0,1,0.5070422535211268,0.5639686684073107,383,409,0.960093896713615,0.5599022004889975,5.754148118956864,0.0702576112412178,0.0,0,0,0.0,0.0,0.0,1.3326498814297356,-0.3868598108848897,0.6499549943503546,10.894443035125732,0.1647500560081594,70.18352385947594,0.002663800989776,0.0027678829750736,0.0,-1.7638979684549918e-05,0.0096713615023474,0.0,-0.002282698473567,0.0228269847356707,0.0253949952479805,10.843662970887706,4.824215338980209e-05,5.2165146148832314e-05,0.0,-0.0019986612708828,0.0001873536299765,0.0,-2.09998524811961e-06,2.09998524811961e-05,1.908061869252212,2.3867212505683004,3.7331707311838342,-0.1804851050166996,0.0206271654968264,0.8261412435704484,0.4307999600958643,-0.0046400230156273,0.5754119878224764,1.5608809012647913,2.447096105949249,-0.1355773890565939,0.4074869763817161,1.049165683293941,1.4016884187500518,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260512-232753Z_nvda-ppo-unstick_seed7.zip,0.0,0.0,5,inf,1,0.5330705798415001,1d,daily,252.0,1.0,3.0,
2,NVDA,nvda-ppo-raw-news,21,50000,0.0003,0.99,0.08,1,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.01,0.1,0.02,0.01,1.0,1,0.5046948356807511,0.5631578947368421,380,405,0.9507042253521126,0.5604938271604938,5.313794143185616,0.0702576112412178,0.0,0,0,0.0,0.0,0.0,0.5031799411023046,-0.4090834467758786,0.6497270955165693,10.687338829040527,0.1514733774951314,64.52765881292598,0.0017948527618516,0.001892857997393,0.0,-6.938717580601952e-06,0.0086854460093896,0.0,-0.0017962881875495,0.0179628818754951,0.0271932730159405,11.611527577806608,4.824215338980209e-05,5.2165146148832314e-05,0.0,-0.0002003835029228,0.0001873536299765,0.0,-2.09998524811961e-06,2.0999852481196104e-05,1.0800138982553564,2.3013234758819823,4.611278636829663,-0.0869077199398851,0.0206271654968264,0.8261412435704484,0.4307999600958643,-0.0046400230156273,0.5768339571530519,1.5638075953671875,2.4516705150999676,-0.1355773890565939,0.429710612272705,1.0894577749712635,1.4604235640274617,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260515-002034Z_nvda-ppo-raw-news_seed21.zip,0.0,0.0,5,inf,1,0.5306608561021393,1d,daily,252.0,1.0,3.0,
2,NVDA,nvda-ppo-minhold1-extended,7,80000,0.0003,0.99,0.08,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.01,0.1,0.02,0.01,1.0,1,0.5140845070422535,0.5629820051413882,389,415,0.9741784037558684,0.5590361445783133,6.07770152325743,0.0936768149882904,0.631578947368421,19,21,0.0491803278688524,0.5714285714285714,0.2187954208423004,4.514440989697718,-0.3741954555649409,0.6492018459441882,17.014575242996216,0.1579038733149153,67.26705003215393,0.0046358484759881,0.0047601944201904,0.0,-1.878132561252826e-06,0.0154460093896713,0.0,-0.0046561480454415,0.0465614804544153,0.0251946843812197,10.758130230780834,0.0001306918669361,0.0001461149065195,0.0,-0.000191033466845,0.000655737704918,0.0,-5.574630093640057e-05,0.000557463009364,5.09127494685077,2.600609942949583,5.033064736327042,-0.1947168447997633,0.055515156707764,0.7169757205186155,0.2769225030750284,-0.0500498837629065,0.5768339571530519,1.5638075953671875,2.4516705150999676,-0.1355773890565939,0.429710612272705,1.0894577749712635,1.4604235640274617,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260515-003353Z_nvda-ppo-minhold1-extended_seed7.zip,0.8058773906425735,0.4383896873819706,5,0.5439905529951854,0,0.6029125477463906,1d,daily,252.0,1.0,1.0,
2,NVDA,nvda-ppo-raw-features,42,50000,0.0003,0.99,0.08,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.05,0.1,0.02,0.01,1.0,1,0.5046948356807511,0.56282722513089,382,408,0.9577464788732394,0.5588235294117647,5.38090247210142,0.0702576112412178,0.0,0,0,0.0,0.0,0.0,0.6250641108181851,-0.4090834467758786,0.6490606713889744,10.336238861083984,0.1556333967285646,66.29982700636853,0.001999049008098,0.0020566354841851,0.0,-1.1942723155657525e-05,0.0093427230046948,0.0,-0.0023212504343012,0.0232125043430125,0.0263917390042489,11.269272554814314,4.824215338980209e-05,5.2165146148832314e-05,0.0,-0.0010019175146144,0.0001873536299765,0.0,-2.09998524811961e-06,2.0999852481196104e-05,1.201898067971237,1.846698929894308,2.791445000258839,-0.2190719424234504,0.0206271654968264,0.8261412435704484,0.4307999600958643,-0.0046400230156273,0.5768339571530519,1.5638075953671875,2.4516705150999676,-0.1355773890565939,0.429710612272705,1.0894577749712635,1.4604235640274617,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260515-001044Z_nvda-ppo-raw-features_seed42.zip,0.0,0.0,5,inf,1,0.5300109654548419,1d,daily,252.0,1.0,3.0,
2,NVDA,nvda-ppo-minhold1-extended,3,80000,0.0003,0.99,0.08,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.01,0.1,0.02,0.01,1.0,1,0.5211267605633803,0.5609137055837563,394,419,0.9835680751173708,0.5584725536992841,5.818500349776735,0.2880562060889929,0.5654450261780105,191,206,0.4824355971896955,0.5436893203883495,0.8726894145679736,2.0194262431843653,0.110701735429324,0.6479986189016633,16.936421155929565,0.1549822763893219,66.02244974185115,0.0032694671819564,0.003363673920559,0.0,-3.4394574481679946e-07,0.0138967136150234,0.0,-0.0033451848606914,0.0334518486069144,0.0884279250351032,37.758723989989086,0.0010454879913668,0.001131316443164,0.0,-0.0001219800473786,0.0047775175644028,0.0,-0.0017795986014856,0.017795986014856,2.596260200337417,2.2494792382439366,3.6786247410599064,-0.2039561767343962,0.5404123477020291,2.0291404259344854,2.663230346575268,-0.0681494290333052,0.5768339571530519,1.5638075953671875,2.4516705150999676,-0.1355773890565939,0.429710612272705,1.0894577749712635,1.4604235640274617,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260515-003318Z_nvda-ppo-minhold1-extended_seed3.zip,0.8058773906425735,0.4383896873819706,5,0.5439905529951854,0,0.6534023208849311,1d,daily,252.0,1.0,1.0,
2,NVDA,nvda-ppo-minhold1-extended,42,80000,0.0003,0.99,0.08,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.01,0.1,0.02,0.01,1.0,1,0.4976525821596244,0.56,375,399,0.9366197183098592,0.5588972431077694,5.026974244008545,0.1288056206088993,0.6086956521739131,46,49,0.1147540983606557,0.5918367346938775,0.5106956502311706,0.6567200077889364,-0.2540812608322744,0.647669172932331,16.998138189315796,0.1407197345065299,59.94660689978177,0.0019745489793562,0.0021083543080914,0.0,-6.869626015539378e-06,0.012018779342723,0.0,-0.0021614020788884,0.0216140207888844,0.0568726925852828,24.28463973391579,0.000386745546455,0.000433777498914,0.0,-0.0001797514768537,0.001311475409836,0.0,-8.254486161710063e-05,0.000825448616171,1.2335539649419882,2.3653195667570817,4.14749611937326,-0.1166850807394427,0.1756293514404305,1.551959303554441,1.0537467040144082,-0.0500498837629065,0.5768339571530519,1.5638075953671875,2.4516705150999676,-0.1355773890565939,0.429710612272705,1.0894577749712635,1.4604235640274617,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260515-003535Z_nvda-ppo-minhold1-extended_seed42.zip,0.8058773906425735,0.4383896873819706,5,0.5439905529951854,0,0.614386358710456,1d,daily,252.0,1.0,1.0,
2,NVDA,nvda-ppo-minhold1-extended,3,80000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.01,0.1,0.02,0.01,1.0,1,0.5211267605633803,0.5609137055837563,394,419,0.9835680751173708,0.5560859188544153,5.655540910942042,0.0889929742388758,0.6666666666666666,15,17,0.0398126463700234,0.5882352941176471,0.1889926933694936,2.72601632451752,-0.3919145486130364,0.6472826284482027,17.331295013427734,0.1474266548650332,62.80375497250415,0.0038137083806313,0.0038762289522652,0.0,-1.9174297261500206e-06,0.0152582159624413,0.0,-0.0045984183294561,0.0459841832945614,0.0187183227881768,7.992723830551528,9.043839119805507e-05,0.0001012028966261,0.0,-0.0001920182303173,0.0005620608899297,0.0,-0.0001285876349766,0.0012858763497665,3.3028502816705716,2.1599266854926347,3.737459519124868,-0.2387646559843922,0.0377960636596685,0.5366240317476471,0.1865380730787079,-0.0500498837629065,0.5768339571530519,1.5638075953671875,2.4516705150999676,-0.1355773890565939,0.429710612272705,1.0894577749712635,1.4604235640274617,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260515-003301Z_nvda-ppo-minhold1-extended_seed3.zip,1.0086811257024682,0.4582197637666918,5,0.4542761355305199,0,0.5982607641774484,1d,daily,252.0,1.0,1.0,
2,NVDA,nvda-ppo-raw-news,7,50000,0.0003,0.99,0.02,1,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.01,0.1,0.02,0.05,1.0,1,0.4906103286384976,0.5603217158176944,373,399,0.9366197183098592,0.556390977443609,3.8515169738612505,0.0702576112412178,0.0,0,0,0.0,0.0,0.0,0.5541329285538581,-0.4090834467758786,0.6470781511419299,10.80162000656128,0.141062382109617,60.09257477869684,0.0018711841625975,0.001997243985884,0.0,-2.4421904853783952e-06,0.0082159624413145,0.0,-0.0023191264272608,0.0231912642726083,0.0271558022899452,11.595527577806608,4.824215338980209e-05,5.2165146148832314e-05,0.0,-0.0002003835029228,0.0001873536299765,0.0,-2.09998524811961e-06,2.0999852481196104e-05,1.13096688570691,2.1574982003307706,3.407815886720957,-0.1386131346678213,0.0206271654968264,0.8261412435704484,0.4307999600958643,-0.0046400230156273,0.5768339571530519,1.5638075953671875,2.4516705150999676,-0.1355773890565939,0.429710612272705,1.0894577749712635,1.4604235640274617,-0.228833069215711,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260515-001500Z_nvda-ppo-raw-news_seed7.zip,0.0,0.0,5,inf,1,0.5281537206734572,1d,daily,252.0,1.0,3.0,
2,NVDA,nvda-ppo-baseline-fd-bypass,3,50000,0.0003,0.99,0.02,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5140845070422535,0.5601023017902813,391,417,0.9788732394366196,0.5563549160671463,5.571234626763358,0.0702576112412178,0.0,0,0,0.0,0.0,0.0,2.140412748590533,-0.3868598108848897,0.6469576257152845,10.989729166030884,0.1601873905980965,68.23982839478913,0.003341144825976,0.0034141829613944,0.0,-3.5481939847828634e-06,0.0129107981220657,0.0,-0.0033398695388518,0.0333986953885188,0.0253575245219852,10.827662970887706,4.824215338980209e-05,5.2165146148832314e-05,0.0,-0.0019986612708828,0.0001873536299765,0.0,-2.09998524811961e-06,2.09998524811961e-05,2.7158247364130097,2.3157978308761353,4.159041168381794,-0.2023714115472886,0.0206271654968264,0.8261412435704484,0.4307999600958643,-0.0046400230156273,0.5754119878224764,1.5608809012647913,2.447096105949249,-0.1355773890565939,0.4074869763817161,1.049165683293941,1.4016884187500518,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260512-230149Z_nvda-ppo-baseline-fd-bypass_seed3.zip,0.0,0.0,5,inf,1,0.5302665295372814,1d,daily,252.0,1.0,3.0,
2,NVDA,nvda-ppo-baseline-fd-bypass,3,50000,0.0003,0.99,0.05,0,1,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5140845070422535,0.5601023017902813,391,417,0.9788732394366196,0.5563549160671463,5.571234626763358,0.0702576112412178,0.0,0,0,0.0,0.0,0.0,2.140412748590533,-0.3868598108848897,0.6469576257152845,11.72103214263916,0.1601873905980965,68.23982839478913,0.003341144825976,0.0034141829613944,0.0,-3.5481939847828634e-06,0.0129107981220657,0.0,-0.0033398695388518,0.0333986953885188,0.0253575245219852,10.827662970887706,4.824215338980209e-05,5.2165146148832314e-05,0.0,-0.0019986612708828,0.0001873536299765,0.0,-2.09998524811961e-06,2.09998524811961e-05,2.7158247364130097,2.3157978308761353,4.159041168381794,-0.2023714115472886,0.0206271654968264,0.8261412435704484,0.4307999600958643,-0.0046400230156273,0.5754119878224764,1.5608809012647913,2.447096105949249,-0.1355773890565939,0.4074869763817161,1.049165683293941,1.4016884187500518,-0.2288330692157109,/Users/nettenz/Projects/agentic-dev/reinforcement-learning-stocks/data/experiment_snapshots/model_20260512-230201Z_nvda-ppo-baseline-fd-bypass_seed3.zip,0.0,0.0,5,inf,1,0.5302665295372814,1d,daily,252.0,1.0,3.0,
