leaderboard_version,ticker,interval,experiment_preset,run_label,seed,timesteps,learning_rate,gamma,ent_coef,include_news,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,max_weight_delta_per_step,reward_mode,rolling_reward_window,reward_epsilon,reward_pnl_scale,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_turnover_penalty_scale,reward_clip,reward_ignore_transaction_cost,bars_per_year,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_pnl_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_turnover_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_pnl_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_turnover_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score
2,NVDA,5m,intraday_5m,nvda-intraday-5m-baseline-20k,21,20000,0.0003,0.99,0.07,0,1,0.001,3,0.001,0.05,next_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,19656,0.342668863261944,0.6470588235294118,51,63,0.10378912685337727,0.6190476190476191,0.19137933448766797,0.4095394736842105,1.0,1,1,0.001644736842105263,1.0,0.0019070354760490904,0.013296949982840256,-0.05577563503150684,0.5475195643765252,62.86500072479248,0.24707317459972272,149.9734169820317,1.37398861543163e-05,1.7632897048148867e-05,0.0,-0.00011864349976126272,0.0003294892915980231,0.0,-2.3786092077918158e-05,0.00023786092077918145,0.06366055795402327,38.70561923604615,-7.197844288881585e-07,7.00567476891325e-08,0.0,-0.00011725249287546427,6.578947368421052e-05,0.0,-6.588599847490598e-06,6.588599847490596e-05,0.0083580677795414,0.928380638525965,1.274675714904471,-0.001981834378439684,-0.00043758145141592486,-0.9081834176621677,-0.5724409623047109,-0.00043758145141592486,-0.0049388822032988555,-0.5821117309426581,-0.9778055412332589,-0.06558052999446884,0.05533805358009092,7.000097475037402,10.551181291762834,-0.026259572401236664,data\experiment_snapshots\intraday_5m\model_20260413-233335Z_nvda-intraday-5m-baseline-20k_seed21_5m.zip,-0.0687321290016815,0.14570644542917593,10,2.119917534136201,1,0.503095766708483
2,NVDA,5m,intraday_5m,nvda-intraday-5m-baseline-20k,512,20000,0.0003,0.99,0.07,0,1,0.001,3,0.001,0.05,next_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,19656,0.3904448105436573,0.5732984293193717,382,551,0.9077429983525536,0.5317604355716878,0.0061208103288481475,0.2730263157894737,0.43613707165109034,321,543,0.8930921052631579,0.4567219152854512,-0.1973780636634379,-0.0027653057849811313,-0.08182753546790766,0.44740150739696183,64.84755110740662,0.14624424875318798,88.77025899318511,-1.2464403246335338e-05,6.561635296013491e-07,0.0,-1.4855059570126407e-05,0.0007248764415156508,0.0,-0.0007414787698996533,0.007414787698996532,-0.045061405529143346,-27.397334561719155,-4.387127248857864e-05,-2.461136728708811e-05,0.0,-1.1223662459525382e-05,0.0006907894736842106,0.0,-0.0019455460085658447,0.019455460085658443,-0.007704187988279987,-0.2661815558719562,-0.24378454708792505,-0.019314833135682274,-0.026489481887816746,-0.9265341340716239,-0.9053761219389561,-0.03596464224659324,-0.0049388822032988555,-0.5821117309426581,-0.9778055412332589,-0.06558052999446884,0.05533805358009092,7.000097475037402,10.551181291762834,-0.026259572401236664,data\experiment_snapshots\intraday_5m\model_20260413-234006Z_nvda-intraday-5m-baseline-20k_seed512_5m.zip,-0.0687321290016815,0.14570644542917593,10,2.119917534136201,1,0.41116151062539497
2,NVDA,5m,intraday_5m,nvda-intraday-5m-baseline-20k,123,20000,0.0003,0.99,0.07,0,1,0.001,3,0.001,0.05,next_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,19656,0.37397034596375617,0.5672514619883041,342,496,0.8171334431630972,0.5241935483870968,0.013559126152380419,0.27631578947368424,0.4370629370629371,286,491,0.8075657894736842,0.45621181262729127,-0.1541277220538717,-0.009961351057807821,-0.08002878121070467,0.4435956207407572,66.3216483592987,0.1521579583733391,92.35988073261683,-2.446389256784712e-05,4.759416077845973e-06,0.0,-2.5465109486752087e-05,0.0014497528830313016,0.0,-0.0009634380948657757,0.009634380948657756,-0.03581144691852665,-21.773359726464204,-4.087181067424838e-05,-2.1045245840657086e-05,0.0,-2.2954514336955273e-05,0.0009868421052631581,0.0,-0.0015108161277783488,0.015108161277783486,-0.014900233261106677,-0.5310873499317508,-0.509341922090127,-0.022223158769235196,-0.02469072763061375,-0.9253028800403121,-0.8556404318521671,-0.02933055350453284,-0.0049388822032988555,-0.5821117309426581,-0.9778055412332589,-0.06558052999446884,0.05533805358009092,7.000097475037402,10.551181291762834,-0.026259572401236664,data\experiment_snapshots\intraday_5m\model_20260413-233756Z_nvda-intraday-5m-baseline-20k_seed123_5m.zip,-0.0687321290016815,0.14570644542917593,10,2.119917534136201,1,0.40788414103205634
2,NVDA,5m,intraday_5m,nvda-intraday-5m-baseline-20k,101,20000,0.0003,0.99,0.07,0,1,0.001,3,0.001,0.05,next_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,19656,0.40362438220757824,0.5714285714285714,392,558,0.9192751235584844,0.5340501792114696,-0.013948585779003042,0.29605263157894735,0.43157894736842106,285,476,0.7828947368421053,0.453781512605042,-0.196472056065076,-0.020203843580998804,-0.07100668273048105,0.44313962232192594,65.69409584999084,0.16519091911637787,100.27088790364137,-4.159091577387565e-05,-5.569667642342922e-06,0.0,-1.016895646803732e-05,0.0025370675453047775,0.0,-0.0006742794681812416,0.006742794681812415,-0.036101894937466496,-21.949952121979628,-2.5865514782698474e-05,-1.6121065871502216e-05,0.0,-2.3502382715726697e-05,0.0003289473684210526,0.0,-0.0009795264113444733,0.009795264113444732,-0.02514272578429766,-0.7796072837659278,-0.7892000523106797,-0.04674391844401482,-0.015668629150390134,-0.8799236248373231,-0.9826852829104203,-0.020732516398923262,-0.0049388822032988555,-0.5821117309426581,-0.9778055412332589,-0.06558052999446884,0.05533805358009092,7.000097475037402,10.551181291762834,-0.026259572401236664,data\experiment_snapshots\intraday_5m\model_20260413-233649Z_nvda-intraday-5m-baseline-20k_seed101_5m.zip,-0.0687321290016815,0.14570644542917593,10,2.119917534136201,1,0.4078472975045083
2,NVDA,5m,intraday_5m,nvda-intraday-5m-baseline-20k,13,20000,0.0003,0.99,0.07,0,1,0.001,3,0.001,0.05,next_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,19656,0.39373970345963755,0.5666666666666667,420,606,0.9983525535420099,0.5264026402640264,-0.0067520117004002955,0.2582236842105263,0.4373259052924791,359,607,0.9983552631578947,0.45799011532125206,-0.18939194518316682,-0.0033450169208472103,-0.13193982930640957,0.43990372307246123,63.53945302963257,0.15226298702294438,92.42363312292724,-1.1222395219563653e-05,-5.586491171914186e-06,0.0,-2.9223005268802665e-07,0.0004612850082372323,0.0,-0.001837041475711811,0.018370414757118116,-0.04727375379437178,-28.74244230697804,-0.00012872420281527538,-0.00011335363702899329,0.0,-2.611644259618559e-07,0.0003289473684210526,0.0,-0.004081662588390213,0.040816625883902134,-0.008283899124146066,-0.08015990576155002,-0.0780683483727437,-0.07375581975375234,-0.07660177572631865,-0.9496495595687712,-0.8799053091853066,-0.092648492693571,-0.0049388822032988555,-0.5821117309426581,-0.9778055412332589,-0.06558052999446884,0.05533805358009092,7.000097475037402,10.551181291762834,-0.026259572401236664,data\experiment_snapshots\intraday_5m\model_20260413-233232Z_nvda-intraday-5m-baseline-20k_seed13_5m.zip,-0.0687321290016815,0.14570644542917593,10,2.119917534136201,1,0.3990435267317489
2,NVDA,5m,intraday_5m,nvda-intraday-5m-baseline-20k,777,20000,0.0003,0.99,0.07,0,1,0.001,3,0.001,0.05,next_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,19656,0.36079077429983525,0.5488126649076517,379,555,0.914332784184514,0.5117117117117117,0.0128808402742,0.25164473684210525,0.4231974921630094,319,549,0.9029605263157895,0.4553734061930783,-0.19937888311365493,-0.021269094923773935,-0.11751896013526408,0.43049601402217935,65.00930190086365,0.11223748843421594,68.12815547956907,-4.274817580920859e-05,-2.29168134129437e-05,0.0,-1.3924598370612854e-05,0.0015156507413509063,0.0,-0.0010271376675812054,0.010271376675812054,-0.06291920082967058,-38.25487410443971,-0.00010452037208448068,-6.437992144957435e-05,0.0,-6.730115194109682e-06,0.0020723684210526318,0.0,-0.0031941145407841758,0.03194114540784176,-0.02620797712707279,-0.48008701859185854,-0.45178705750857556,-0.04304807307142433,-0.062180906555173165,-1.1422675556497115,-1.066759184450716,-0.06944719812963285,-0.0049388822032988555,-0.5821117309426581,-0.9778055412332589,-0.06558052999446884,0.05533805358009092,7.000097475037402,10.551181291762834,-0.026259572401236664,data\experiment_snapshots\intraday_5m\model_20260413-234110Z_nvda-intraday-5m-baseline-20k_seed777_5m.zip,-0.0687321290016815,0.14570644542917593,10,2.119917534136201,1,0.39126418403005886
2,NVDA,5m,intraday_5m,nvda-intraday-5m-baseline-20k,256,20000,0.0003,0.99,0.07,0,1,0.001,3,0.001,0.05,next_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,19656,0.29983525535420097,0.43765903307888043,393,570,0.9390444810543658,0.47017543859649125,0.01913082388659304,0.3404605263157895,0.5591715976331361,338,568,0.9342105263157895,0.5369718309859155,0.24773920476180034,-0.07332967780951294,-0.16211641178015546,0.3637083128957062,64.98411631584167,-0.0062577927732725734,-3.798480213376452,-0.0001337271000895655,1.5384630467064345e-05,0.0,-1.0453273535671743e-05,0.008731466227347613,0.0,-0.004980191578440237,0.04980191578440236,0.10354359970625882,62.95450862140536,-0.00018524192547075932,5.810235761547315e-05,0.0,-9.447315414326694e-06,0.01305921052631579,0.0,-0.005358873648883517,0.05358873648883517,-0.0782685600128118,-2.0535223356644323,-3.7129017818887307,-0.09128261256408221,-0.10677835820006454,-3.045207920481501,-4.522695017414021,-0.10679441384851207,-0.0049388822032988555,-0.5821117309426581,-0.9778055412332589,-0.06558052999446884,0.05533805358009092,7.000097475037402,10.551181291762834,-0.026259572401236664,data\experiment_snapshots\intraday_5m\model_20260413-233901Z_nvda-intraday-5m-baseline-20k_seed256_5m.zip,-0.0687321290016815,0.14570644542917593,10,2.119917534136201,1,0.32022186814861586
2,NVDA,5m,intraday_5m,nvda-intraday-5m-baseline-20k,7,20000,0.0003,0.99,0.07,0,1,0.001,3,0.001,0.05,next_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,19656,0.30807248764415157,0.0,0,0,0.0,0.0,0.0,0.40789473684210525,0.0,0,0,0.0,0.0,0.0,0.0049388822032988555,-0.054544314307019226,0.0,65.09462523460388,-0.00014202179766258555,-0.08620723118118942,0.0,0.0,0.0,-0.00014202179766258555,0.0,0.0,0.0,0.0,-0.007581974835041811,-4.609840699705421,1.3141032618019536e-06,-1.8531877106660973e-07,0.0,-0.00011728735105581634,0.00019736842105263157,0.0,-0.0002789438847310822,0.002789438847310822,0.0,0.0,0.0,0.0,0.0007937392730716919,0.15430426266543545,0.12932740692400335,-0.0036193103793915604,-0.0049388822032988555,-0.5821117309426581,-0.9778055412332589,-0.06558052999446884,0.05533805358009092,7.000097475037402,10.551181291762834,-0.026259572401236664,data\experiment_snapshots\intraday_5m\model_20260413-233129Z_nvda-intraday-5m-baseline-20k_seed7_5m.zip,-0.0687321290016815,0.14570644542917593,10,2.119917534136201,1,-0.026653606772063937
2,NVDA,5m,intraday_5m,nvda-intraday-5m-baseline-20k,84,20000,0.0003,0.99,0.07,0,1,0.001,3,0.001,0.05,next_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,19656,0.30807248764415157,0.0,0,0,0.0,0.0,0.0,0.40625,0.0,1,2,0.003289473684210526,0.5,-0.0002188601754571362,0.0038075479290072822,-0.05986748468665748,0.0,64.69724988937378,0.042270179125169186,25.657998728977695,-1.8645359854834929e-06,-1.3166152439864666e-07,0.0,-0.00014202179766258555,0.00013179571663920922,0.0,-3.0133743127745738e-05,0.00030133743127745726,0.3007684031298481,182.86718910294763,-7.464187822083881e-06,-6.449139632275806e-07,0.0,-0.00011719902150790245,0.0005263157894736842,0.0,-0.00019318827406476937,0.0019318827406476933,-0.0011313342742915733,-1.152266933715802,-0.20621959789742328,-0.0011313342742915733,-0.0045294311065665616,-1.7005284432868517,-0.385411997026034,-0.0045294311065665616,-0.0049388822032988555,-0.5821117309426581,-0.9778055412332589,-0.06558052999446884,0.05533805358009092,7.000097475037402,10.551181291762834,-0.026259572401236664,data\experiment_snapshots\intraday_5m\model_20260413-233544Z_nvda-intraday-5m-baseline-20k_seed84_5m.zip,-0.0687321290016815,0.14570644542917593,10,2.119917534136201,1,-0.02718592381002776
2,NVDA,5m,intraday_5m,nvda-intraday-5m-baseline-20k,42,20000,0.0003,0.99,0.07,0,1,0.001,3,0.001,0.05,next_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,19656,0.30807248764415157,0.0,0,0,0.0,0.0,0.0,0.40789473684210525,0.0,0,0,0.0,0.0,0.0,0.0049388822032988555,-0.05533805358009092,0.0,64.15649485588074,-0.00014202179766258555,-0.08620723118118942,0.0,0.0,0.0,-0.00014202179766258555,0.0,0.0,0.0,0.0,-0.00011728735105581634,-0.07131070944193633,0.0,0.0,0.0,-0.00011728735105581634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049388822032988555,-0.5821117309426581,-0.9778055412332589,-0.06558052999446884,0.05533805358009092,7.000097475037402,10.551181291762834,-0.026259572401236664,data\experiment_snapshots\intraday_5m\model_20260413-233439Z_nvda-intraday-5m-baseline-20k_seed42_5m.zip,-0.0687321290016815,0.14570644542917593,10,2.119917534136201,1,-0.026732980699371106
