seed,timesteps,learning_rate,gamma,ent_coef,include_news,threshold,horizon,transaction_cost_rate,trade_penalty,reward_mode,rolling_reward_window,reward_epsilon,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk
7,20000,0.0003,0.99,0.05,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.4437299035369775,0.5168539325842697,0.5112540192926045,-0.030568222698335923,-0.036790634747995155,-0.1482670886957419,0.5780397941161115,51.18688464164734,0.09868516114438229,30.493714793614128,0.001076525200218092,0.0013402667763123012,0.0,0.00038834951456310677,-0.002119098494792082,0.02119098494792082,0.03780261738135198,11.756614005600467,-3.872982364879309e-06,5.000022415354637e-05,0.0,6.430868167202572e-05,-0.004554268923688283,0.04554268923688284,0.3770014357026725,1.8397609273024087,2.509390281096711,-0.11242263046153667,-0.01926452571589199,-0.0024204368892979506,-0.003593868487527261,-0.17969717146323994,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-023932Z_run_seed7.zip,-0.031067120569670093,0.0008641164609387423,3,0.0278145011540707,0
7,40000,0.0003,0.99,0.02,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.4437299035369775,0.5168539325842697,0.5112540192926045,-0.030568222698335923,0.0827319207699515,-0.20160184347585086,0.5780397941161115,79.27820110321045,0.09981653909481317,30.84331058029727,0.0013722856002603718,0.0015166407328445852,0.0,0.002071197411003236,-0.002658307320608547,0.02658307320608547,0.034707378751998995,10.793994791871688,-0.00016629777719197775,8.76785654210865e-05,0.0,0.0045016077170418,-0.006900589102511342,0.06900589102511341,0.4965239912206192,1.8452714850677905,2.526454156416825,-0.1365253169235061,-0.07259928049600095,-0.20535869643911508,-0.2857365314157171,-0.24752535142010224,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-024051Z_run_seed7.zip,-0.012016813213308533,0.040827034688784694,3,3.397492659998164,1
7,40000,0.0003,0.99,0.05,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.4437299035369775,0.5168539325842697,0.5112540192926045,-0.030568222698335923,-0.17761837388703627,-0.13863179159985195,0.5780397941161115,82.90756583213806,0.09944664273516911,30.729012605167256,0.000705923247806993,0.0008887596685183782,0.0,0.0034304207119741103,-0.0015017315684757635,0.015017315684757634,0.04002732625566452,12.448498465511666,-1.7462620811475354e-05,3.6313447650535824e-05,0.0,6.430868167202572e-05,-0.0023687406100915374,0.023687406100915378,0.2361736965636314,1.7342925460462109,2.3171508803166447,-0.0793083276823272,-0.00962922862000204,-0.04744016804731268,-0.0702098079484626,-0.091286788577708,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-024214Z_run_seed7.zip,0.03042650230914597,0.08063488489972981,3,2.650152951543549,1
13,20000,0.0003,0.99,0.02,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.4437299035369775,0.5168539325842697,0.5112540192926045,-0.030568222698335923,-0.029303537204957264,-0.15082983790166438,0.5780397941161115,52.37130641937256,0.10439358840285189,32.257618816481234,0.0010964292528064018,0.001377510547598349,0.0,0.0029773462783171524,-0.002166789632703322,0.02166789632703322,0.036679739254903684,11.407398908275045,-1.2889755664818708e-05,4.676083314405318e-05,0.0,0.00012861736334405144,-0.004567392406899887,0.04567392406899887,0.3844885332457104,1.8252272586973313,2.504871498356321,-0.1085044935719135,-0.021827274921814466,-0.013856813340969432,-0.020597078115563744,-0.18019789887698634,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-024306Z_run_seed13.zip,-0.02892239280167482,0.03993513439359192,3,1.3807686890719284,1
21,40000,0.0003,0.99,0.02,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.4405144694533762,0.5150375939849624,0.5096774193548387,-0.04027416944466633,-0.014199032577057569,-0.19998258985994477,0.5780397941161115,77.6532998085022,0.09998565456488992,30.895567260550983,0.0011313304720047541,0.0012508766831686013,0.0,0.00038834951456310677,-0.0019748489526025216,0.019748489526025214,0.035214337686082224,10.951659020371572,-0.00018659099494646182,-4.1159622731663995e-05,-1.0382459780213823e-06,0.001414790996784566,-0.004074893588359967,0.04074893588359967,0.3995930378736101,1.8881583962610236,2.6252589895460985,-0.09959709522130789,-0.07098002688009486,-0.2851755265683152,-0.4046576710331652,-0.17969717146323994,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-024954Z_run_seed21.zip,-0.012016813213308533,0.040827034688784694,3,3.397492659998164,1
13,20000,0.0003,0.99,0.05,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.4437299035369775,0.5168539325842697,0.5112540192926045,-0.030568222698335923,-0.2669050507196473,-0.15389745288222534,0.5780397941161115,53.18830680847168,0.10257598668759203,31.69597988646594,0.000452805930925503,0.0007277261738575123,0.0,0.003689320388349515,-0.0010820432822939575,0.010820432822939575,0.03655192851054499,11.367649766779493,-6.481216801124195e-05,-1.5723183346892507e-05,0.0,0.0027009646302250806,-0.003209746413745221,0.03209746413745221,0.14688701973102036,1.5206118625651195,2.107574617254333,-0.05539778903740766,-0.024894889902375428,-0.16366886907926617,-0.22764616394496417,-0.11895016323683671,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-024400Z_run_seed13.zip,-0.031067120569670093,0.0008641164609387423,3,0.0278145011540707,0
7,20000,0.0003,0.99,0.02,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.459546925566343,0.5725806451612904,0.5532646048109966,0.6263911525258061,0.4180064308681672,0.5224489795918368,0.5121951219512195,0.011810212598946768,-0.22607867907116463,-0.08270252915253096,0.5775479345291055,52.76220178604126,0.08171642057275452,25.250373956981147,0.0005729710895367117,0.0006414913502827354,-3.99231515339163e-05,0.004595469255663431,-0.0011586204581581262,0.011586204581581262,0.027249951474111026,8.474734908448529,0.00016157554802186108,4.560781971187312e-05,-8.54823320788995e-05,0.004115755627009647,-0.001727639753654592,0.01727639753654592,0.18771339137950305,1.5407964569789747,2.0670248027584233,-0.05143007671087063,0.046300033827318954,0.43938112580744826,0.695739122672079,-0.07892758426747548,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-023841Z_run_seed7.zip,-0.02892239280167482,0.03993513439359192,3,1.3807686890719284,1
21,20000,0.0003,0.99,0.05,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4886731391585761,0.5681818181818182,0.5522875816993464,0.6179234933249251,0.43729903536977494,0.5152671755725191,0.5081967213114754,-0.03206491631233843,-0.14414254757591194,-0.16720752973712094,0.5733618822656981,55.40983200073242,0.09701502124521805,29.977641564772377,0.0008262723827191775,0.001263590094083846,-6.884546175217556e-06,0.017540453074433658,-0.002669778348304354,0.026697783483043535,0.026587666170756512,8.268764179105276,-4.040842773700141e-05,-0.00015672611003308406,-1.2949743193498031e-05,0.010996784565916398,-0.005374744758493312,0.05374744758493312,0.26964952287475574,1.2371626549922428,1.6692914785445159,-0.12066387198568185,-0.03820496675727103,-0.04411994413261538,-0.0669427174131098,-0.2281870882641699,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-024836Z_run_seed21.zip,-0.031067120569670093,0.0008641164609387423,3,0.0278145011540707,0
13,40000,0.0003,0.99,0.02,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4854368932038835,0.5703422053231939,0.5522875816993464,0.6001100579739329,0.44694533762057875,0.5271317829457365,0.5183946488294314,0.03479195250307665,-0.32020069443089993,-0.1335393548246825,0.5708793887661874,80.05652499198914,0.08757433316812069,27.060468948949293,0.00029628672553823484,0.000558191106603245,-1.7320247700431177e-05,0.0060194174757281565,-0.0009856783994763533,0.009856783994763531,0.021734529624542705,6.759438713232781,-1.2377176458139277e-06,-0.00015878967522918322,-4.647481841514337e-05,0.0024437299035369774,-0.002489567350918261,0.02489567350918261,0.09359137601976775,1.1295380610254788,1.4453546610763632,-0.04375239785831009,-0.004536791844832577,0.002694342048328381,0.0038746570683660933,-0.10221817178689951,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-024520Z_run_seed13.zip,-0.012016813213308533,0.040827034688784694,3,3.397492659998164,1
21,20000,0.0003,0.99,0.02,0,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.36893203883495146,0.42857142857142855,0.44336569579288027,-0.4249965454381224,0.41479099678456594,0.48314606741573035,0.4855305466237942,-0.0680091683056353,-0.8869463888329959,-0.2786251085885607,0.26229611393595387,53.33748912811279,-0.13181705881442865,-40.731471173658456,-0.0019315552874535503,-0.0016874718717145602,0.0,0.0008414239482200647,-0.029803525411754007,0.29803525411754,-0.06859810368708733,-21.33401024668416,-0.00030050361407745325,-6.080711159893381e-05,0.0,0.002186495176848874,-0.030551635719439703,0.30551635719439707,-0.47315431838232824,-1.8007779209677395,-2.882113819673547,-0.5451502489000819,-0.1496225456087108,-0.22384462012621953,-0.2860430769526579,-0.4822221205481524,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-024741Z_run_seed21.zip,-0.02892239280167482,0.03993513439359192,3,1.3807686890719284,1
