leaderboard_version,ticker,run_label,seed,timesteps,learning_rate,gamma,ent_coef,include_news,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,max_weight_delta_per_step,reward_mode,rolling_reward_window,reward_epsilon,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_turnover_penalty_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_turnover_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_turnover_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score,reward_pnl_scale,val_reward_pnl_mean,test_reward_pnl_mean
2,NVDA,nvda-phase1-entropy-0.05,123,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.1,0.15,0.02,0.05,1.0,1,0.0612903225806451,1.0,1,1,0.0032258064516129,1.0,0.0022513368075078,0.1446945337620578,0.5,58,64,0.2057877813504823,0.53125,0.0135165039411464,-0.5178165511335756,-0.1498156249683663,0.8004502673615016,47.30684423446655,-0.1576345646642316,-48.8667150459118,-0.0004270495712222,-0.0002850315794791,-0.0023436153329851,0.0013548387096774,0.0,-0.0131039863618904,0.0873599090792697,-0.0252523084417517,-7.853467925384802,-6.149847355195787e-05,-5.574319209839661e-05,-0.0017178833264875,0.0008360128617363,0.0,-0.0088110198902767,0.0587401326018449,-0.1258752198791496,-1.835484016635444,-2.5457301871875293,-0.1439361569084454,-0.0217737390670772,-0.2263975446539097,-0.3780406818514683,-0.10625324718224,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260410-024054Z_nvda-phase1-entropy-0.05_seed123.zip,0.0240352768205754,0.2265701824388143,10,9.426568461439915,1,0.7104687048646648,0.0,0.0,0.0
2,NVDA,nvda-phase1-entropy-0.07,512,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.1,0.15,0.02,0.05,1.0,1,0.4612903225806452,0.6025641025641025,234,250,0.8064516129032258,0.584,2.3858746810199314,0.382636655948553,0.5490196078431373,204,219,0.7041800643086816,0.5296803652968036,0.2490826703289661,-0.0646444813246145,-0.0590332533863346,0.6764820512820513,49.06583786010742,0.1532425218045039,47.50518175939621,0.0009296928720243,0.0010915915268103,-0.0003825863738546,0.0027096774193548,0.0,-0.0011344725148605,0.00756315009907,0.0282731950194908,8.792963651061658,0.0002279448548101,0.000286368362909,-0.0005531681472949,0.0011575562700964,0.0,-0.001884339654208,0.0125622643613871,0.3272968499298114,2.60893137969255,4.196567280421573,-0.0450439093037234,0.0690086325149543,0.6995966755093919,0.7789972093842817,-0.0733362899358187,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260410-025052Z_nvda-phase1-entropy-0.07_seed512.zip,-0.0441834172472489,0.2370469126819532,10,5.365065163598518,1,0.6179015012073695,0.0,0.0,0.0
2,NVDA,nvda-reward-phase2-turnoverplus-ent010,42,20000,0.0003,0.99,0.1,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.06,1.0,1,0.5161290322580645,0.5888888888888889,270,287,0.9258064516129032,0.5714285714285714,1.996573686239993,0.4823151125401929,0.5622641509433962,265,286,0.919614147909968,0.5384615384615384,0.2035636609493734,-0.1859101394361859,-0.1149662188251765,0.665873015873016,44.689698457717896,0.1046658807890759,32.446423044613546,0.0006182615558823,0.00071235586154,-0.0001446401302519,0.0041935483870967,0.0,-0.0009225934715006,0.0092259347150064,0.017619020793833,5.479515466882091,5.326279498016509e-05,0.0001580321185598,-0.0001954025795941,0.0021864951768488,0.0,-0.0021227025117601,0.021227025117601,0.20603119181824,1.8685196452246813,2.6787886237203065,-0.0455538714360519,0.0130756670761125,0.1766664807156342,0.2001944102226285,-0.0875539076579002,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-093751Z_nvda-reward-phase2-turnoverplus-ent010_seed42.zip,0.0218675131717561,0.236625533285911,10,10.820870733098925,1,0.6030451570932236,0.0,0.0,0.0
2,NVDA,nvda-phase1-entropy-0.05,21,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.0,sharpe,100,1e-06,1.0,0.35,0.1,0.15,0.02,0.05,1.0,1,0.5483870967741935,0.584192439862543,291,309,0.9967741935483873,0.5663430420711975,2.2971124701368137,0.5048231511254019,0.5451388888888888,288,310,0.9967845659163987,0.5258064516129032,0.2234535224477443,1.09046857818848,-0.2548608873279846,0.6619991325526307,46.71136212348938,0.1664291325642114,51.59303109490556,0.003182687237833,0.0036465084845407,-3.740757965694257e-06,0.0147096774193548,0.0,-0.0046053544139204,0.0307023627594696,-0.0191702720415101,-5.96195460490965,-0.0002205823197772,-0.0001173405235134,-1.1039333733143128e-05,0.0119614147909967,0.0,-0.0163478858967612,0.1089859059784083,1.482409909442906,2.2709041661979583,3.404016813136959,-0.183806005141601,-0.1268190014266955,-0.1704201646661556,-0.1955841963744831,-0.3017514084297659,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260410-023744Z_nvda-phase1-entropy-0.05_seed21.zip,0.0240352768205754,0.2265701824388143,10,9.426568461439915,1,0.5845603662711495,0.0,0.0,0.0
2,NVDA,nvda-realism-phase-stress-ent010,21,20000,0.0003,0.99,0.1,0,0,0.002,1,0.001,0.05,next_bar,2.0,2.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,0,0.4645161290322581,0.5847457627118644,236,248,0.8,0.5645161290322581,1.212729416113035,0.4855305466237942,0.5392857142857143,280,302,0.9710610932475884,0.5198675496688742,0.2422777187100206,-0.2027074616355173,-0.0788221173755128,0.6617277200656096,48.98620343208313,0.1219999210745188,37.81997553310083,0.0005797591910005,0.0007509416712547,-0.0005058769933964,0.0030967741935483,0.0,-0.0012771155811329,0.0127711558113293,0.0435313571531854,13.538252074640688,0.0001756329457619,0.0003640159327678,-6.025383623125734e-05,0.0048231511254019,0.0,-0.0026212309806772,0.0262123098067725,0.1892338696189086,1.4334503882636087,2.2077715176521853,-0.0553226941089585,0.0492197685257762,0.4299182366619203,0.5313809175018033,-0.0740141664992847,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-101921Z_nvda-realism-phase-stress-ent010_seed21.zip,0.0618245001450833,0.2249022542406832,10,3.637752892670479,1,0.6151949769800461,0.0,0.0,0.0
2,NVDA,nvda-entropy-cal-20k-ent0.06-bonus002-dd10-10seed,21,20000,0.0003,0.99,0.06,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5387096774193548,0.5818815331010453,287,305,0.9838709677419356,0.5639344262295082,2.075884844180146,0.4983922829581994,0.5400696864111498,287,309,0.9935691318327974,0.5210355987055016,0.1316810169828379,-0.0058749399999924,-0.1329505993107103,0.6601210944193752,50.51875638961792,0.0987873811566045,30.624088158547405,0.0011716662665044,0.001492367717078,-2.7842006023356044e-05,0.0138709677419354,0.0,-0.0040448764931816,0.040448764931816,0.0084053159721447,2.6140532673370043,5.71274931109986e-05,0.0002595288830507,-2.367029576498417e-05,0.0055305466237942,0.0,-0.0051381217053435,0.0513812170534354,0.3860663912544335,1.2106290386248928,1.6343488669375896,-0.1454612164682897,-0.0049087134094212,0.0750937272620687,0.093249586928408,-0.1875507307044048,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-075326Z_nvda-entropy-cal-20k-ent0.06-bonus002-dd10-10seed_seed21.zip,-0.02297051300362,0.2877201495784517,10,12.525630121238814,1,0.5947354421538092,,,
2,NVDA,nvda-entropy-ab-20k-ent0.05-bonus002-dd10-10seed,256,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5813148788927336,289,307,0.9903225806451612,0.5635179153094463,2.191921838002238,0.4919614147909968,0.5387323943661971,284,306,0.9839228295819936,0.5196078431372549,0.1613992589627817,-0.161202024632874,-0.0707247643039983,0.6597128140392007,51.15268230438232,0.1291630939777075,40.04055913308934,0.0006857515252429,0.0008887645380969,-3.033226880041051e-05,0.0010967741935483,0.0,-0.0010405956879208,0.0104059568792084,0.0241325753299398,7.5052309276112945,0.0001941818413571,0.0002109235815578,-2.1352741077198063e-05,0.0008360128617363,0.0,-0.0014090468914874,0.0140904689148746,0.2307393066215519,1.9346722835318704,2.9425890345726824,-0.0448004923544301,0.0573171215972907,0.562950211260685,0.7836357847593489,-0.0609770390054574,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-073907Z_nvda-entropy-ab-20k-ent0.05-bonus002-dd10-10seed_seed256.zip,0.0476056874695349,0.2180901921655706,10,4.581179345537999,1,0.604699419927094,,,
2,NVDA,nvda-reward-phase2-turnoverplus-ent010,101,20000,0.0003,0.99,0.1,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.06,1.0,1,0.5419354838709678,0.5813148788927336,289,307,0.9903225806451612,0.5635179153094463,1.9990553745042976,0.495176848874598,0.5460992907801419,282,304,0.977491961414791,0.5263157894736842,0.1843159102706475,-0.2187125533346561,-0.0829071661442082,0.6597128140392007,44.95787668228149,0.1169218487742166,36.24577312000717,0.0005291948436836,0.0007246731996715,-1.096153323256009e-05,0.0010322580645161,0.0,-0.0010094275181121,0.0100942751811214,0.0149600396205329,4.652572321985753,0.000151534549329,0.0001249213852159,-2.9940166199177967e-05,0.0008360128617363,0.0,-0.0013234248719934,0.0132342487199342,0.1732287779197698,1.6029259531976563,2.3158064099249223,-0.0524089454434381,0.0451347197570808,0.5496915467527996,0.7581250974178031,-0.0411643856636758,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-093920Z_nvda-reward-phase2-turnoverplus-ent010_seed101.zip,0.0218675131717561,0.236625533285911,10,10.820870733098925,1,0.5996613180191502,0.0,0.0,0.0
2,NVDA,nvda-reward-cal-20k-aggressive-ent010,21,20000,0.0003,0.99,0.1,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.15,0.02,0.03,1.0,1,0.5387096774193548,0.5798611111111112,288,306,0.9870967741935484,0.5620915032679739,1.5877971118895062,0.4983922829581994,0.5403508771929825,285,306,0.9839228295819936,0.5228758169934641,0.1732383658255267,-0.2642981209654169,-0.0261312227695678,0.6585580065359478,48.4426691532135,0.0656402346315511,20.34847273578084,0.0004416451727132,0.0006407063277685,-6.52711319849961e-05,0.0108387096774193,0.0,-0.0053315951769679,0.0355439678464529,0.0507385942493225,15.77970281153931,0.0003505631457822,0.0004647540861402,-4.122650003855854e-05,0.0114469453376205,0.0,-0.0039313469410425,0.0262089796069504,0.127643210289009,0.6748684012997994,0.8898317137277855,-0.1318721638048555,0.1019106631317212,0.634811578083789,0.853296498805155,-0.0913693301918349,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-085718Z_nvda-reward-cal-20k-aggressive-ent010_seed21.zip,-0.037471891510718,0.2355164085140665,10,6.285148654604259,1,0.6039693725630845,0.2,0.0001090812261592,9.494311093556254e-05
2,NVDA,nvda-reward-phase2-drawdownplus-ent010,256,20000,0.0003,0.99,0.1,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.12,0.02,0.05,1.0,1,0.5419354838709678,0.5793103448275863,290,308,0.9935483870967742,0.5616883116883117,2.039845020234549,0.495176848874598,0.5422535211267606,284,306,0.9839228295819936,0.5228758169934641,0.1828206956425129,-0.1592053322348008,-0.0665532294224064,0.6581616659202867,44.97090005874634,0.1122911500517249,34.81025651603472,0.0006983711900509,0.0008075760096677,-1.5161233406767303e-05,0.0028387096774193,0.0,-0.0015463531088651,0.0128862759072099,0.0223407855855188,6.947984317096349,0.0002067293330932,0.0002384882215126,-4.0793397501347085e-05,0.0008360128617363,0.0,-0.0015106557022844,0.0125887975190369,0.2327359990196251,1.6255681854086552,2.4109400132850363,-0.0627515484983329,0.0614886564788825,0.601658403586198,0.8350601473736802,-0.0609770390054574,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-094845Z_nvda-reward-phase2-drawdownplus-ent010_seed256.zip,0.0355808079060174,0.218275627589091,10,6.134645063868152,1,0.5996535017930047,0.0,0.0,0.0
