leaderboard_version,ticker,interval,experiment_preset,run_label,seed,timesteps,learning_rate,gamma,ent_coef,include_news,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,max_weight_delta_per_step,reward_mode,rolling_reward_window,reward_epsilon,reward_pnl_scale,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_turnover_penalty_scale,reward_clip,reward_ignore_transaction_cost,bars_per_year,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_pnl_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_turnover_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_pnl_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_turnover_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score
2,NVDA,5m,intraday_5m,nvda-intraday-5m-A-thr0p0015-h5-20k,84,20000,0.0003,0.99,0.07,0,1,0.0015,5,0.001,0.08,next_bar,1.0,1.0,0.15,sortino,100,1e-06,0.0,1.0,0.3,0.12,0.12,0.0,0.1,1.0,0,19656,0.3690280065897858,0.5714285714285714,392,606,0.99835255354201,0.5462046204620462,-0.0161074452429359,0.21875,0.427652733118971,311,607,0.9983552631578948,0.4200988467874794,-0.2923569755886368,-0.0014615721114537,-0.1347288925607286,0.4463541828043124,69.04563665390015,0.1433629520845279,87.02131191530847,-7.2162760468558704e-06,-4.249374494480678e-06,0.0,-3.506760632256319e-07,0.0,0.0,-0.00255417728229,0.0212848106857508,-0.0377335152991573,-22.94197730188765,-0.0001330424906923,-0.000115748645523,0.0,-3.13397311154227e-07,0.0,0.0,-0.0062909302445619,0.0524244187046828,-0.0064004543147525,-0.0442985526118667,-0.0436581682758656,-0.0766687313299984,-0.0793908389806377,-0.8660554871648125,-0.8695160554249226,-0.1066754039607844,-0.0049388822032988,-0.5821117309426581,-0.9778055412332588,-0.0655805299944688,0.0553380535800909,7.000097475037402,10.551181291762834,-0.0262595724012366,data\experiment_snapshots\intraday_5m_batch_a\model_20260414-022327Z_nvda-intraday-5m-A-thr0p0015-h5-20k_seed84_5m.zip,-0.1700117278996612,0.147243359795303,10,0.8660776619022672,0,0.4170317250137368
2,NVDA,5m,intraday_5m,nvda-intraday-5m-A-thr0p0015-h5-20k,21,20000,0.0003,0.99,0.07,0,1,0.0015,5,0.001,0.08,next_bar,1.0,1.0,0.15,sortino,100,1e-06,0.0,1.0,0.3,0.12,0.12,0.0,0.1,1.0,0,19656,0.3690280065897858,0.5714285714285714,392,606,0.99835255354201,0.5462046204620462,-0.0161074452429359,0.21875,0.427652733118971,311,607,0.9983552631578948,0.4200988467874794,-0.2923569755886368,-0.0102583032261232,-0.1194379306799438,0.4463541828043124,66.24289774894714,0.1470842141733253,89.28011800320849,-2.3288975840608065e-05,-1.3976199917524163e-05,0.0,-3.506760632256319e-07,0.0,0.0,-0.0016968334271558,0.0141402785596319,-0.0562814836044528,-34.21914203150731,-0.000107581646221,-9.95642432630422e-05,0.0,-3.13397311154227e-07,0.0,0.0,-0.0034192456707498,0.028493713922915,-0.015197185429422,-0.1881953067165225,-0.1802154591529385,-0.0733746199341335,-0.0640998770998528,-1.034596489361055,-1.0293625946703029,-0.0718340367321441,-0.0049388822032988,-0.5821117309426581,-0.9778055412332588,-0.0655805299944688,0.0553380535800909,7.000097475037402,10.551181291762834,-0.0262595724012366,data\experiment_snapshots\intraday_5m_batch_a\model_20260414-022109Z_nvda-intraday-5m-A-thr0p0015-h5-20k_seed21_5m.zip,-0.1700117278996612,0.147243359795303,10,0.8660776619022672,0,0.4185608212018153
2,NVDA,5m,intraday_5m,nvda-intraday-5m-A-thr0p0015-h5-20k,512,20000,0.0003,0.99,0.07,0,1,0.0015,5,0.001,0.08,next_bar,1.0,1.0,0.15,sortino,100,1e-06,0.0,1.0,0.3,0.12,0.12,0.0,0.1,1.0,0,19656,0.3690280065897858,0.5714285714285714,392,606,0.99835255354201,0.5462046204620462,-0.0161074452429359,0.21875,0.427652733118971,311,607,0.9983552631578948,0.4200988467874794,-0.2923569755886368,-0.0014615721114537,-0.1347288925607286,0.4463541828043124,68.3906946182251,0.1433629520845279,87.02131191530847,-7.2162760468558704e-06,-4.249374494480678e-06,0.0,-3.506760632256319e-07,0.0,0.0,-0.00255417728229,0.0212848106857508,-0.0377335152991573,-22.94197730188765,-0.0001330424906923,-0.000115748645523,0.0,-3.13397311154227e-07,0.0,0.0,-0.0062909302445619,0.0524244187046828,-0.0064004543147525,-0.0442985526118667,-0.0436581682758656,-0.0766687313299984,-0.0793908389806377,-0.8660554871648125,-0.8695160554249226,-0.1066754039607844,-0.0049388822032988,-0.5821117309426581,-0.9778055412332588,-0.0655805299944688,0.0553380535800909,7.000097475037402,10.551181291762834,-0.0262595724012366,data\experiment_snapshots\intraday_5m_batch_a\model_20260414-022803Z_nvda-intraday-5m-A-thr0p0015-h5-20k_seed512_5m.zip,-0.1700117278996612,0.147243359795303,10,0.8660776619022672,0,0.4170317250137368
2,NVDA,5m,intraday_5m,nvda-intraday-5m-A-thr0p0015-h5-20k,256,20000,0.0003,0.99,0.07,0,1,0.0015,5,0.001,0.08,next_bar,1.0,1.0,0.15,sortino,100,1e-06,0.0,1.0,0.3,0.12,0.12,0.0,0.1,1.0,0,19656,0.3690280065897858,0.5714285714285714,392,606,0.99835255354201,0.5462046204620462,-0.0161074452429359,0.21875,0.427652733118971,311,607,0.9983552631578948,0.4200988467874794,-0.2923569755886368,-0.0840723836068461,-0.1185337913173735,0.4463541828043124,68.81306529045105,0.1100787747903266,66.81781629772826,-0.0001510796612234,-7.427390805585189e-05,0.0,-3.506760632256319e-07,0.0,0.0,-0.0049881392345199,0.041567826954333,-0.0292551750986187,-17.787146459960173,-0.0001059485857487,-4.426041513888109e-05,0.0,-3.13397311154227e-07,0.0,0.0,-0.0052285886865256,0.043571572387714,-0.0890112658101449,-1.0786861568158697,-0.9726401028112018,-0.1109917444324073,-0.0631957377372826,-0.998939512676352,-1.3655820459536463,-0.0911691950975758,-0.0049388822032988,-0.5821117309426581,-0.9778055412332588,-0.0655805299944688,0.0553380535800909,7.000097475037402,10.551181291762834,-0.0262595724012366,data\experiment_snapshots\intraday_5m_batch_a\model_20260414-022654Z_nvda-intraday-5m-A-thr0p0015-h5-20k_seed256_5m.zip,-0.1700117278996612,0.147243359795303,10,0.8660776619022672,0,0.4186512351380724
2,NVDA,5m,intraday_5m,nvda-intraday-5m-A-thr0p0015-h5-20k,101,20000,0.0003,0.99,0.07,0,1,0.0015,5,0.001,0.08,next_bar,1.0,1.0,0.15,sortino,100,1e-06,0.0,1.0,0.3,0.12,0.12,0.0,0.1,1.0,0,19656,0.3690280065897858,0.5714285714285714,392,606,0.99835255354201,0.5462046204620462,-0.0161074452429359,0.21875,0.427652733118971,311,607,0.9983552631578948,0.4200988467874794,-0.2923569755886368,-0.0003750673801641,-0.1304077234938263,0.4463541828043124,69.90361905097961,0.1434639601015567,87.08262378164494,-5.4669343471194514e-06,-4.169377892027689e-06,0.0,-3.506760632256319e-07,0.0,0.0,-0.0025538059344695,0.0212817161205799,-0.0376826029733917,-22.9110226078222,-0.0001253674471808,-0.0001136056405684,0.0,-3.13397311154227e-07,0.0,0.0,-0.0061956527680955,0.0516304397341293,-0.0053139495834629,-0.0338179557211385,-0.033381925395149,-0.0761036234132658,-0.0750696699137354,-0.819668094515736,-0.8241974548258496,-0.1043586038403794,-0.0049388822032988,-0.5821117309426581,-0.9778055412332588,-0.0655805299944688,0.0553380535800909,7.000097475037402,10.551181291762834,-0.0262595724012366,data\experiment_snapshots\intraday_5m_batch_a\model_20260414-022437Z_nvda-intraday-5m-A-thr0p0015-h5-20k_seed101_5m.zip,-0.1700117278996612,0.147243359795303,10,0.8660776619022672,0,0.4174638419204271
2,NVDA,5m,intraday_5m,nvda-intraday-5m-A-thr0p0015-h3-20k,84,20000,0.0003,0.99,0.07,0,1,0.0015,3,0.001,0.08,next_bar,1.0,1.0,0.15,sortino,100,1e-06,0.0,1.0,0.3,0.12,0.12,0.0,0.1,1.0,0,19656,0.3278418451400329,0.5739130434782609,345,606,0.99835255354201,0.5264026402640264,-0.0067520117004002,0.1842105263157894,0.4148148148148148,270,607,0.9983552631578948,0.457990115321252,-0.1893919451831668,-0.0014615721114537,-0.1347288925607286,0.4435269114782583,71.53706645965576,0.1433629520845279,87.02131191530847,-7.2162760468558704e-06,-4.249374494480678e-06,0.0,-3.506760632256319e-07,0.0,0.0,-0.00255417728229,0.0212848106857508,-0.0377335152991573,-22.94197730188765,-0.0001330424906923,-0.000115748645523,0.0,-3.13397311154227e-07,0.0,0.0,-0.0062909302445619,0.0524244187046828,-0.0064004543147525,-0.0442985526118667,-0.0436581682758656,-0.0766687313299984,-0.0793908389806377,-0.8660554871648125,-0.8695160554249226,-0.1066754039607844,-0.0049388822032988,-0.5821117309426581,-0.9778055412332588,-0.0655805299944688,0.0553380535800909,7.000097475037402,10.551181291762834,-0.0262595724012366,data\experiment_snapshots\intraday_5m_batch_a\model_20260414-021203Z_nvda-intraday-5m-A-thr0p0015-h3-20k_seed84_5m.zip,-0.1119014007164795,0.0964537801657202,10,0.8619532869843298,0,0.4134795779191699
2,NVDA,5m,intraday_5m,nvda-intraday-5m-A-thr0p0015-h3-20k,21,20000,0.0003,0.99,0.07,0,1,0.0015,3,0.001,0.08,next_bar,1.0,1.0,0.15,sortino,100,1e-06,0.0,1.0,0.3,0.12,0.12,0.0,0.1,1.0,0,19656,0.3278418451400329,0.5739130434782609,345,606,0.99835255354201,0.5264026402640264,-0.0067520117004002,0.1842105263157894,0.4148148148148148,270,607,0.9983552631578948,0.457990115321252,-0.1893919451831668,-0.0102583032261232,-0.1194379306799438,0.4435269114782583,66.87733769416809,0.1470842141733253,89.28011800320849,-2.3288975840608065e-05,-1.3976199917524163e-05,0.0,-3.506760632256319e-07,0.0,0.0,-0.0016968334271558,0.0141402785596319,-0.0562814836044528,-34.21914203150731,-0.000107581646221,-9.95642432630422e-05,0.0,-3.13397311154227e-07,0.0,0.0,-0.0034192456707498,0.028493713922915,-0.015197185429422,-0.1881953067165225,-0.1802154591529385,-0.0733746199341335,-0.0640998770998528,-1.034596489361055,-1.0293625946703029,-0.0718340367321441,-0.0049388822032988,-0.5821117309426581,-0.9778055412332588,-0.0655805299944688,0.0553380535800909,7.000097475037402,10.551181291762834,-0.0262595724012366,data\experiment_snapshots\intraday_5m_batch_a\model_20260414-020941Z_nvda-intraday-5m-A-thr0p0015-h3-20k_seed21_5m.zip,-0.1119014007164795,0.0964537801657202,10,0.8619532869843298,0,0.4150086741072484
2,NVDA,5m,intraday_5m,nvda-intraday-5m-A-thr0p0015-h3-20k,512,20000,0.0003,0.99,0.07,0,1,0.0015,3,0.001,0.08,next_bar,1.0,1.0,0.15,sortino,100,1e-06,0.0,1.0,0.3,0.12,0.12,0.0,0.1,1.0,0,19656,0.3278418451400329,0.5739130434782609,345,606,0.99835255354201,0.5264026402640264,-0.0067520117004002,0.1842105263157894,0.4148148148148148,270,607,0.9983552631578948,0.457990115321252,-0.1893919451831668,-0.0014615721114537,-0.1347288925607286,0.4435269114782583,60.55577063560486,0.1433629520845279,87.02131191530847,-7.2162760468558704e-06,-4.249374494480678e-06,0.0,-3.506760632256319e-07,0.0,0.0,-0.00255417728229,0.0212848106857508,-0.0377335152991573,-22.94197730188765,-0.0001330424906923,-0.000115748645523,0.0,-3.13397311154227e-07,0.0,0.0,-0.0062909302445619,0.0524244187046828,-0.0064004543147525,-0.0442985526118667,-0.0436581682758656,-0.0766687313299984,-0.0793908389806377,-0.8660554871648125,-0.8695160554249226,-0.1066754039607844,-0.0049388822032988,-0.5821117309426581,-0.9778055412332588,-0.0655805299944688,0.0553380535800909,7.000097475037402,10.551181291762834,-0.0262595724012366,data\experiment_snapshots\intraday_5m_batch_a\model_20260414-021619Z_nvda-intraday-5m-A-thr0p0015-h3-20k_seed512_5m.zip,-0.1119014007164795,0.0964537801657202,10,0.8619532869843298,0,0.4134795779191699
2,NVDA,5m,intraday_5m,nvda-intraday-5m-A-thr0p0015-h3-20k,256,20000,0.0003,0.99,0.07,0,1,0.0015,3,0.001,0.08,next_bar,1.0,1.0,0.15,sortino,100,1e-06,0.0,1.0,0.3,0.12,0.12,0.0,0.1,1.0,0,19656,0.3278418451400329,0.5739130434782609,345,606,0.99835255354201,0.5264026402640264,-0.0067520117004002,0.1842105263157894,0.4148148148148148,270,607,0.9983552631578948,0.457990115321252,-0.1893919451831668,-0.0840723836068461,-0.1185337913173735,0.4435269114782583,64.4656274318695,0.1100787747903266,66.81781629772826,-0.0001510796612234,-7.427390805585189e-05,0.0,-3.506760632256319e-07,0.0,0.0,-0.0049881392345199,0.041567826954333,-0.0292551750986187,-17.787146459960173,-0.0001059485857487,-4.426041513888109e-05,0.0,-3.13397311154227e-07,0.0,0.0,-0.0052285886865256,0.043571572387714,-0.0890112658101449,-1.0786861568158697,-0.9726401028112018,-0.1109917444324073,-0.0631957377372826,-0.998939512676352,-1.3655820459536463,-0.0911691950975758,-0.0049388822032988,-0.5821117309426581,-0.9778055412332588,-0.0655805299944688,0.0553380535800909,7.000097475037402,10.551181291762834,-0.0262595724012366,data\experiment_snapshots\intraday_5m_batch_a\model_20260414-021519Z_nvda-intraday-5m-A-thr0p0015-h3-20k_seed256_5m.zip,-0.1119014007164795,0.0964537801657202,10,0.8619532869843298,0,0.4150990880435054
2,NVDA,5m,intraday_5m,nvda-intraday-5m-A-thr0p0015-h3-20k,101,20000,0.0003,0.99,0.07,0,1,0.0015,3,0.001,0.08,next_bar,1.0,1.0,0.15,sortino,100,1e-06,0.0,1.0,0.3,0.12,0.12,0.0,0.1,1.0,0,19656,0.3278418451400329,0.5739130434782609,345,606,0.99835255354201,0.5264026402640264,-0.0067520117004002,0.1842105263157894,0.4148148148148148,270,607,0.9983552631578948,0.457990115321252,-0.1893919451831668,-0.0003750673801641,-0.1304077234938263,0.4435269114782583,60.05046892166138,0.1434639601015567,87.08262378164494,-5.4669343471194514e-06,-4.169377892027689e-06,0.0,-3.506760632256319e-07,0.0,0.0,-0.0025538059344695,0.0212817161205799,-0.0376826029733917,-22.9110226078222,-0.0001253674471808,-0.0001136056405684,0.0,-3.13397311154227e-07,0.0,0.0,-0.0061956527680955,0.0516304397341293,-0.0053139495834629,-0.0338179557211385,-0.033381925395149,-0.0761036234132658,-0.0750696699137354,-0.819668094515736,-0.8241974548258496,-0.1043586038403794,-0.0049388822032988,-0.5821117309426581,-0.9778055412332588,-0.0655805299944688,0.0553380535800909,7.000097475037402,10.551181291762834,-0.0262595724012366,data\experiment_snapshots\intraday_5m_batch_a\model_20260414-021303Z_nvda-intraday-5m-A-thr0p0015-h3-20k_seed101_5m.zip,-0.1119014007164795,0.0964537801657202,10,0.8619532869843298,0,0.4139116948258601
