ArticleKey,SentimentScore,SentimentConfidence,SentimentProvider,SentimentModel,CachedAtUTC
f38a8e1e8aea9274cce68e203f40517f4faaae7018dd7a69cbe73cb40e7f3ce1,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.616661+00:00
7c167e750d88b5249087c1d8439b937141c149cbe8b85acafff72c0e9354d5d4,0.0136986301369863,0.0684931506849315,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.619401+00:00
1ec203c93c7dad3a93cad7f12f48f2724232c873ca00a4f6b72bf0b16b8532a9,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.620177+00:00
0e07ad389de72ccecfaa6d0843b85cce61651ea18b6db744b85229d591abb1a0,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.620803+00:00
7e5ced17ca9e2cb60c02e0253b28d19c3181089a600e6fc006f12a805a7df7d2,0.024096385542168676,0.12048192771084336,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.621404+00:00
48ce2824f613f416fa6ecb122f0d539a6721fa3b498030ace0635e6fabdd0778,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.621979+00:00
780a7268e1de546b426753da2f6fa9dd18135d447b6e462f62b3c00ed2cc86d9,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.622533+00:00
fe4d0d244b7b414f4ab790d989235d227fb313c8a5477407ce2ea5804bcae529,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.623084+00:00
bc0e1f65684e1d4309512eb72ec001ce31a06593f161a5e78f76f17579b2f400,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.623598+00:00
697b8372b6e5452315459171ed6850fb0b69b3e78969f8ebb35ad94676784589,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.624124+00:00
e229760679515a75a65377ef4c30bf6e530018cf7116b716ecb0b86074ec335b,0.03125,0.15625,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.757657+00:00
1b2ed564e71faefdfefecba8bf167ff81680f2739620d508963369a81ea9b1ac,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.758715+00:00
1f22566abe67df4726b1ec59b3d544095f5e2b7970c8718bb9375a2e785daff5,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.759412+00:00
32c63ca455adc6900bf1f37cebe6ee86af6ec0557fcf97690a43805d88b9a727,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.760037+00:00
2b873f1d9ec9f8a368ded07653963f81332aa0eb20fdae1ed366b2cc9284f38d,0.02857142857142857,0.14285714285714285,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.760640+00:00
47e6d787857dcfb2296f20833c171c44652456a4a9fec9800b8bf6bd8b5c31c0,0.024096385542168676,0.12048192771084336,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.761251+00:00
2a318d4107188b73f503ecd15e9eb10a41fde351207381d84146e5d2a1dd15db,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.761843+00:00
497cd1487c2dc3d194eff011b2a3a39766a4f99aff8cf67928f1336dceaa06a5,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.762434+00:00
faa494d498426231ce468e7a1c6534b8c4bafeb97e52338edf1e065c919e4eb7,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.763017+00:00
0ddafe17924caaa38deacbc7803ff32bc52ac7cccfe59b2dde43efca59586f31,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.763598+00:00
3ff911dad3b05252e56b19c62dbfc1a0e717acd36a1351ae68bca82e694a6768,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.922066+00:00
e0a35ed9c08f4dd0e103728a49b048671db6ef259130528beb5941c45d58371a,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.923871+00:00
8adf2b07e0ffff9eaeb64b0805950c82f3ca42bd870d2f4efd2fa964c72528cf,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.924705+00:00
d9c96f90b19d9b0b9f93031a31f3cc3b3be026bb6843a5c2c8e7a9b96ead647f,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.925495+00:00
bc9e6bfc2cc17381d69afb9d3eb6fc54869628985a491ec2f96c310914b80ae7,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.926100+00:00
385802543e974ff30bc5f2e7601e0fa5d96a22ab55b31f85086c97b3fb66b2c0,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.926668+00:00
42f65a9d009e642479b78b347cf356efb4aa06f69e41a30372642c19fe65a476,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.927239+00:00
94c7dd9aa5ae0fa7cee4173119ad097ba59a00d5ccef6a6443dd515957178913,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.927803+00:00
3c48a6b9151235c63b8153b56542f57303e7002cfab44f44aa405adcbf2cd0bf,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.928356+00:00
b9fb88b8ca6ef9cbdfe1c4feb0b81d3e64a031ce95638b8c0e3952083bde6e92,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:00.928952+00:00
789d35aec6b02f4c839b013d7a869cd598271321824e723ab7261c37e09803e3,-0.06060606060606061,0.303030303030303,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.078499+00:00
dc10b8c2e92d02e24f2c868099dd5513e969b4acb17888758b727132db3daa70,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.079889+00:00
7b981856e4098bfbc8062798393512e92e767700d689b78234094728bff2787e,0.03125,0.15625,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.080597+00:00
e851563d78ec3036f17d3d75c86075bfe232cf6a9409d889083fc5b23b613b70,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.081226+00:00
b8e30802470c44563db76a4627f7ccca2a7102166ee99e8c4c73edfe8c473a3c,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.081821+00:00
cab946f7b8183ef606c101fcf78c7dc2a056c367ae057c3489f6013b696df73a,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.082410+00:00
401a07001b6268b2da6d36f8f1ae8ef64760cb284ae3e31216b54a29497fb6ab,0.02857142857142857,0.14285714285714285,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.082975+00:00
d530dde3de6f4a9278faf0cedc77cb5674cd460e4e3b504cb0ecb5713a65dc52,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.083522+00:00
9fe13aa42c85f7e4d412d6e40187dd7d0aff34dc69c708eb7a383d337fb2b3fa,-0.011904761904761904,0.05952380952380952,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.084094+00:00
65563f04867f01758d49b823e1db42c3683977938fce44d28c895954d5f7dd01,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.084661+00:00
08165bd5baa6be14a8e922733935551fcf0452a53e393ecd4b0ba1e669520416,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.216058+00:00
d504c14451e364ba668bff5c49118284e90b648eeab8dd791b049dbd08c8afa8,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.217026+00:00
